taxa	abundance
Acetobacteraceae	0.0051
Acholeplasmataceae	0.0057
Acidaminococcaceae	0.0011
Acidimicrobiaceae	0.0020
Acidithiobacillaceae	0.0014
Acidothermaceae	0.0031
Actinomycetaceae	0.0026
Actinosynnemataceae	0.0057
Aerococcaceae	0.0020
Aeromonadaceae	0.0011
Alcaligenaceae	0.0028
Alcanivoracaceae	0.0009
Alicyclobacillaceae	0.0006
Alteromonadaceae	0.0037
Anaplasmataceae	0.0136
Aquificaceae	0.0096
Archaeoglobaceae	0.0020
Aurantimonadaceae	0.0011
Bacillaceae	0.0130
Bacteroidaceae	0.0051
Bartonellaceae	0.0043
Bdellovibrionaceae	0.0011
Beijerinckiaceae	0.0020
Beutenbergiaceae	0.0006
Bifidobacteriaceae	0.0130
Blattabacteriaceae	0.0034
Brachyspiraceae	0.0020
Bradyrhizobiaceae	0.0096
Brevibacteriaceae	0.0011
Brucellaceae	0.0045
Burkholderiaceae	0.0145
Campylobacteraceae	0.0057
Cardiobacteriaceae	0.0020
Carnobacteriaceae	0.0054
Catenulisporaceae	0.0006
Caulobacteraceae	0.0045
Cenarchaeaceae	0.0054
Chlamydiaceae	0.0043
Chlorobiaceae	0.0071
Chloroflexaceae	0.0026
Chromatiaceae	0.0017
Clostridiaceae	0.0173
Clostridiales Family XI. Incertae Sedis	0.0051
Clostridiales Family XVIII. Incertae Sedis	0.0014
Comamonadaceae	0.0040
Coriobacteriaceae	0.0074
Corynebacteriaceae	0.0085
Coxiellaceae	0.0051
Cyclobacteriaceae	0.0026
Cystobacteraceae	0.0017
Cytophagaceae	0.0113
Deinococcaceae	0.0011
Dermabacteraceae	0.0003
Dermacoccaceae	0.0006
Desulfobacteraceae	0.0051
Desulfobulbaceae	0.0034
Desulfohalobiaceae	0.0023
Desulfomicrobiaceae	0.0023
Desulfovibrionaceae	0.0065
Desulfurococcaceae	0.0051
Desulfuromonadaceae	0.0003
Dictyoglomaceae	0.0011
Ectothiorhodospiraceae	0.0011
Elusimicrobiaceae	0.0037
Enterobacteriaceae	0.0842
Enterococcaceae	0.0034
Entomoplasmataceae	0.0014
Erysipelotrichaceae	0.0054
Erythrobacteraceae	0.0091
Eubacteriaceae	0.0028
Ferroplasmaceae	0.0003
Fibrobacteraceae	0.0026
Flavobacteriaceae	0.0119
Francisellaceae	0.0096
Frankiaceae	0.0119
Fusobacteriaceae	0.0045
Gallionellaceae	0.0014
Geobacteraceae	0.0028
Geodermatophilaceae	0.0023
Gordoniaceae	0.0011
Hahellaceae	0.0011
Halanaerobiaceae	0.0011
Halobacteriaceae	0.0009
Halomonadaceae	0.0011
Halothiobacillaceae	0.0023
Helicobacteraceae	0.0057
Heliobacteriaceae	0.0009
Herpetosiphonaceae	0.0026
Hydrogenophilaceae	0.0006
Hydrogenothermaceae	0.0034
Hyphomonadaceae	0.0060
Idiomarinaceae	0.0006
Intrasporangiaceae	0.0011
Jonesiaceae	0.0009
Kineosporiaceae	0.0006
Kofleriaceae	0.0006
Lachnospiraceae	0.0057
Lactobacillaceae	0.0252
Legionellaceae	0.0020
Leptospiraceae	0.0068
Leptotrichiaceae	0.0088
Leuconostocaceae	0.0034
Listeriaceae	0.0068
Mariprofundaceae	0.0003
Methanobacteriaceae	0.0017
Methanocaldococcaceae	0.0028
Methanocellaceae	0.0003
Methanococcaceae	0.0011
Methanomicrobiaceae	0.0006
Methanopyraceae	0.0006
Methanosaetaceae	0.0009
Methanosarcinaceae	0.0014
Methanospirillaceae	0.0003
Methylacidiphilaceae	0.0023
Methylobacteriaceae	0.0014
Methylococcaceae	0.0006
Methylophilaceae	0.0020
Micrococcaceae	0.0037
Micromonosporaceae	0.0011
Moraxellaceae	0.0074
Moritellaceae	0.0006
Mycobacteriaceae	0.0037
Mycoplasmataceae	0.0207
Myxococcaceae	0.0026
Nannocystaceae	0.0003
Natranaerobiaceae	0.0014
Nautiliaceae	0.0017
Neisseriaceae	0.0079
Nitrosomonadaceae	0.0023
Nitrospiraceae	0.0031
Nocardiaceae	0.0031
Nocardioidaceae	0.0014
Nocardiopsaceae	0.0020
Nostocaceae	0.0034
Oceanospirillaceae	0.0017
Opitutaceae	0.0020
Oxalobacteraceae	0.0037
Paenibacillaceae	0.0028
Parachlamydiaceae	0.0006
Parvularculaceae	0.0060
Pasteurellaceae	0.0071
Pelobacteraceae	0.0011
Peptococcaceae	0.0023
Peptostreptococcaceae	0.0011
Phyllobacteriaceae	0.0043
Picrophilaceae	0.0003
Piscirickettsiaceae	0.0011
Planctomycetaceae	0.0034
Polyangiaceae	0.0020
Porphyromonadaceae	0.0023
Prevotellaceae	0.0065
Prochlorococcaceae	0.0173
Promicromonosporaceae	0.0006
Propionibacteriaceae	0.0077
Pseudoalteromonadaceae	0.0017
Pseudomonadaceae	0.0037
Pseudonocardiaceae	0.0037
Pyrodictiaceae	0.0011
Rhizobiaceae	0.0215
Rhodobacteraceae	0.0286
Rhodocyclaceae	0.0023
Rhodospirillaceae	0.0045
Rhodothermaceae	0.0020
Rickettsiaceae	0.0198
Rikenellaceae	0.0048
Rubrobacteraceae	0.0014
Ruminococcaceae	0.0091
Sanguibacteraceae	0.0003
Shewanellaceae	0.0020
Solibacteraceae	0.0003
Sphaerobacteraceae	0.0011
Sphingobacteriaceae	0.0023
Sphingomonadaceae	0.0139
Spirochaetaceae	0.0091
Spiroplasmataceae	0.0006
Staphylococcaceae	0.0207
Streptococcaceae	0.0116
