taxa	abundance
Acholeplasmatales	0.0057
Acidimicrobiales	0.0020
Acidithiobacillales	0.0014
Actinomycetales	0.0850
Aeromonadales	0.0011
Alteromonadales	0.0094
Aquificales	0.0130
Archaeoglobales	0.0020
Bacillales	0.0493
Bacteroidales	0.0207
Bacteroidetes Order II. Incertae sedis	0.0020
Bdellovibrionales	0.0011
Bifidobacteriales	0.0130
Burkholderiales	0.0272
Campylobacterales	0.0116
Cardiobacteriales	0.0020
Caulobacterales	0.0045
Cenarchaeales	0.0054
Chlamydiales	0.0048
Chlorobiales	0.0071
Chloroflexales	0.0026
Chromatiales	0.0051
Chroococcales	0.0213
Clostridiales	0.0510
Coriobacteriales	0.0074
Cytophagales	0.0139
Deinococcales	0.0011
Desulfobacterales	0.0085
Desulfovibrionales	0.0116
Desulfurococcales	0.0062
Desulfuromonadales	0.0043
Dictyoglomales	0.0011
Elusimicrobiales	0.0037
Enterobacteriales	0.0842
Entomoplasmatales	0.0020
Erysipelotrichales	0.0054
Fibrobacterales	0.0026
Flavobacteriales	0.0164
Fusobacteriales	0.0133
Gallionellales	0.0014
Halanaerobiales	0.0011
Halobacteriales	0.0009
Herpetosiphonales	0.0026
Hydrogenophilales	0.0006
Lactobacillales	0.0510
Legionellales	0.0071
Mariprofundales	0.0003
Methanobacteriales	0.0017
Methanocellales	0.0003
Methanococcales	0.0040
Methanomicrobiales	0.0011
Methanopyrales	0.0006
Methanosarcinales	0.0023
Methylacidiphilales	0.0023
Methylococcales	0.0006
Methylophilales	0.0028
Mycoplasmatales	0.0207
Myxococcales	0.0071
Natranaerobiales	0.0014
Nautiliales	0.0017
Neisseriales	0.0079
Nitrosomonadales	0.0023
Nitrospirales	0.0031
Nostocales	0.0034
Oceanospirillales	0.0048
Oscillatoriales	0.0031
Parvularculales	0.0060
Pasteurellales	0.0071
Planctomycetales	0.0034
Prochlorales	0.0173
Pseudomonadales	0.0111
Rhizobiales	0.0519
Rhodobacterales	0.0346
Rhodocyclales	0.0023
Rhodospirillales	0.0096
Rickettsiales	0.0408
Rubrobacterales	0.0014
Selenomonadales	0.0062
Solibacterales	0.0003
Sphaerobacterales	0.0011
Sphingobacteriales	0.0040
Sphingomonadales	0.0230
Spirochaetales	0.0179
Sulfolobales	0.0074
Synergistales	0.0060
Syntrophobacterales	0.0026
Thermales	0.0023
Thermoanaerobacterales	0.0079
Thermococcales	0.0034
Thermomicrobiales	0.0017
Thermoplasmatales	0.0011
Thermoproteales	0.0060
Thermotogales	0.0071
Thiotrichales	0.0111
Verrucomicrobiales	0.0071
Vibrionales	0.0111
Xanthomonadales	0.0026
unclassified	0.0193
