taxa	abundance
Abiotrophia	0.0020
Acaryochloris	0.0023
Acetivibrio	0.0009
Acetobacter	0.0011
Acholeplasma	0.0009
Achromobacter	0.0011
Acidaminococcus	0.0011
Acidimicrobium	0.0020
Acidiphilium	0.0006
Acidithiobacillus	0.0014
Acidothermus	0.0031
Acidovorax	0.0006
Aciduliprofundum	0.0023
Acinetobacter	0.0054
Actinobacillus	0.0020
Actinomyces	0.0017
Actinosynnema	0.0057
Aeromonas	0.0006
Aeropyrum	0.0023
Afipia	0.0003
Aggregatibacter	0.0011
Agrobacterium	0.0023
Akkermansia	0.0023
Albidiferax	0.0003
Alcanivorax	0.0009
Algoriphagus	0.0026
Alicycliphilus	0.0003
Alicyclobacillus	0.0006
Alistipes	0.0048
Alkalilimnicola	0.0003
Alkaliphilus	0.0011
Allochromatium	0.0003
Anabaena	0.0006
Anaerobaculum	0.0014
Anaerococcus	0.0003
Anaerofustis	0.0014
Anaeromyxobacter	0.0026
Anaerostipes	0.0003
Anaerotruncus	0.0009
Anaplasma	0.0045
Anoxybacillus	0.0009
Aquifex	0.0003
Archaeoglobus	0.0009
Arcobacter	0.0023
Arsenophonus	0.0006
Arthrospira	0.0003
Asticcacaulis	0.0014
Atopobium	0.0006
Aurantimonas	0.0003
Azoarcus	0.0014
Azorhizobium	0.0017
Azospirillum	0.0020
Bacillus	0.0102
Bacteroides	0.0051
Bartonella	0.0043
Bdellovibrio	0.0011
Beggiatoa	0.0003
Beijerinckia	0.0006
Bermanella	0.0003
Beutenbergia	0.0006
Bifidobacterium	0.0065
Blastopirellula	0.0017
Blattabacterium	0.0034
Blautia	0.0006
Bordetella	0.0017
Borrelia	0.0068
Brachybacterium	0.0003
Brachyspira	0.0020
Bradyrhizobium	0.0003
Brevibacterium	0.0011
Brevundimonas	0.0014
Brucella	0.0043
Buchnera	0.0113
Bulleidia	0.0006
Burkholderia	0.0108
Caldanaerobacter	0.0011
Caldicellulosiruptor	0.0006
Caldivirga	0.0011
Caminibacter	0.0011
Campylobacter	0.0034
Candidatus Amoebophilus	0.0023
Candidatus Azobacteroides	0.0020
Candidatus Blochmannia	0.0051
Candidatus Desulforudis	0.0006
Candidatus Hamiltonella	0.0020
Candidatus Koribacter	0.0014
Candidatus Liberibacter	0.0077
Candidatus Pelagibacter	0.0071
Candidatus Phytoplasma	0.0048
Candidatus Protochlamydia	0.0006
Candidatus Regiella	0.0003
Candidatus Solibacter	0.0003
Capnocytophaga	0.0028
Carboxydothermus	0.0017
Cardiobacterium	0.0006
Carnobacterium	0.0040
Catenibacterium	0.0017
Catenulispora	0.0006
Catonella	0.0020
