taxa	abundance
Acidobacteria	0.0017
Actinobacteria	0.1769
Aquificae	0.0054
Bacteroidetes	0.0476
Chlamydiae	0.0173
Chlorobi	0.0071
Chloroflexi	0.0082
Crenarchaeota	0.0006
Cyanobacteria	0.0261
Deinococcus-Thermus	0.0065
Dictyoglomi	0.0003
Elusimicrobia	0.0034
Euryarchaeota	0.0009
Fibrobacteres	0.0023
Firmicutes	0.2010
Fusobacteria	0.0023
Gemmatimonadetes	0.0031
Korarchaeota	0.0003
Planctomycetes	0.0065
Proteobacteria	0.4176
Spirochaetes	0.0065
Synergistetes	0.0043
Tenericutes	0.0346
Thaumarchaeota	0.0003
Thermotogae	0.0065
Verrucomicrobia	0.0128
