taxa	abundance
Acidobacteriia	0.0006
Actinobacteria (class)	0.1769
Alphaproteobacteria	0.1151
Aquificae (class)	0.0054
Bacilli	0.0896
Bacteroidia	0.0241
Betaproteobacteria	0.0800
Chlamydiia	0.0173
Chlorobia	0.0071
Chloroflexi (class)	0.0057
Clostridia	0.1007
Cytophagia	0.0028
Dehalococcoidetes	0.0009
Deinococci	0.0065
Deltaproteobacteria	0.0286
Dictyoglomia	0.0003
Elusimicrobia (class)	0.0034
Epsilonproteobacteria	0.0150
Erysipelotrichi	0.0037
Fibrobacteria	0.0023
Flavobacteriia	0.0111
Fusobacteriia	0.0023
Gammaproteobacteria	0.1764
Gemmatimonadetes (class)	0.0031
Gloeobacteria	0.0023
Halobacteria	0.0006
Mollicutes	0.0346
Negativicutes	0.0071
Opitutae	0.0017
Planctomycetia	0.0065
Spartobacteria	0.0026
Sphingobacteriia	0.0045
Spirochaetia	0.0065
Synergistia	0.0043
Thermomicrobia (class)	0.0017
Thermoplasmata	0.0003
Thermoprotei	0.0006
Thermotogae (class)	0.0065
Verrucomicrobiae	0.0060
Zetaproteobacteria	0.0014
unclassified	0.0343
