taxa	abundance
Acetobacteraceae	0.0034
Acholeplasmataceae	0.0034
Acidaminococcaceae	0.0006
Acidimicrobiaceae	0.0062
Acidithiobacillaceae	0.0048
Acidobacteriaceae	0.0006
Acidothermaceae	0.0009
Actinomycetaceae	0.0258
Actinosynnemataceae	0.0006
Aerococcaceae	0.0017
Aeromonadaceae	0.0011
Alcaligenaceae	0.0031
Alcanivoracaceae	0.0017
Alicyclobacillaceae	0.0037
Alteromonadaceae	0.0040
Anaplasmataceae	0.0099
Aquificaceae	0.0037
Aurantimonadaceae	0.0014
Bacillaceae	0.0241
Bacteroidaceae	0.0048
Bartonellaceae	0.0048
Bdellovibrionaceae	0.0026
Beijerinckiaceae	0.0014
Bifidobacteriaceae	0.0099
Blattabacteriaceae	0.0009
Brachyspiraceae	0.0011
Bradyrhizobiaceae	0.0054
Brevibacteriaceae	0.0034
Brucellaceae	0.0133
Burkholderiaceae	0.0451
Campylobacteraceae	0.0048
Carnobacteriaceae	0.0026
Catenulisporaceae	0.0026
Caulobacteraceae	0.0014
Chlamydiaceae	0.0147
Chlorobiaceae	0.0071
Chloroflexaceae	0.0031
Chromatiaceae	0.0020
Clostridiaceae	0.0227
Clostridiales Family XI. Incertae Sedis	0.0017
Clostridiales Family XVIII. Incertae Sedis	0.0023
Colwelliaceae	0.0003
Comamonadaceae	0.0074
Coriobacteriaceae	0.0034
Corynebacteriaceae	0.0074
Coxiellaceae	0.0040
Cystobacteraceae	0.0068
Cytophagaceae	0.0028
Deinococcaceae	0.0020
Dermabacteraceae	0.0034
Dermacoccaceae	0.0023
Desulfobacteraceae	0.0011
Desulfohalobiaceae	0.0017
Desulfomicrobiaceae	0.0006
Desulfovibrionaceae	0.0054
Desulfuromonadaceae	0.0011
Dictyoglomaceae	0.0003
Ectothiorhodospiraceae	0.0011
Elusimicrobiaceae	0.0034
Enterobacteriaceae	0.0743
Enterococcaceae	0.0017
Entomoplasmataceae	0.0006
Erysipelotrichaceae	0.0037
Erythrobacteraceae	0.0011
Eubacteriaceae	0.0037
Fibrobacteraceae	0.0023
Flavobacteriaceae	0.0068
Francisellaceae	0.0125
Frankiaceae	0.0045
Fusobacteriaceae	0.0006
Gallionellaceae	0.0014
Gemmatimonadaceae	0.0031
Geobacteraceae	0.0034
Geodermatophilaceae	0.0014
Glycomycetaceae	0.0026
Hahellaceae	0.0003
Halobacteriaceae	0.0006
Halomonadaceae	0.0014
Helicobacteraceae	0.0065
Heliobacteriaceae	0.0020
Herpetosiphonaceae	0.0026
Hydrogenothermaceae	0.0014
Hyphomicrobiaceae	0.0034
Hyphomonadaceae	0.0028
Intrasporangiaceae	0.0011
Jonesiaceae	0.0011
Lachnospiraceae	0.0363
Lactobacillaceae	0.0102
Legionellaceae	0.0060
Leptospiraceae	0.0026
Leptotrichiaceae	0.0017
Leuconostocaceae	0.0099
Listeriaceae	0.0045
Mariprofundaceae	0.0014
Methylacidiphilaceae	0.0026
Methylobacteriaceae	0.0031
Methylophilaceae	0.0014
Microbacteriaceae	0.0006
Micrococcaceae	0.0292
Micromonosporaceae	0.0014
Moraxellaceae	0.0062
Moritellaceae	0.0003
Mycobacteriaceae	0.0187
Mycoplasmataceae	0.0286
Myxococcaceae	0.0023
Nakamurellaceae	0.0028
Natranaerobiaceae	0.0006
Nautiliaceae	0.0009
Neisseriaceae	0.0099
Nitrosomonadaceae	0.0020
Nitrosopumilaceae	0.0003
Nocardiaceae	0.0037
Nocardioidaceae	0.0017
Nocardiopsaceae	0.0017
Nostocaceae	0.0017
Oceanospirillaceae	0.0028
Opitutaceae	0.0017
Oxalobacteraceae	0.0054
Paenibacillaceae	0.0031
Parachlamydiaceae	0.0026
Parvularculaceae	0.0037
Pasteurellaceae	0.0184
Pelobacteraceae	0.0020
Peptococcaceae	0.0062
Peptostreptococcaceae	0.0023
Phyllobacteriaceae	0.0045
Picrophilaceae	0.0003
Piscirickettsiaceae	0.0026
Planctomycetaceae	0.0065
Polyangiaceae	0.0003
Porphyromonadaceae	0.0026
Prevotellaceae	0.0105
Prochlorococcaceae	0.0045
Promicromonosporaceae	0.0009
Propionibacteriaceae	0.0105
Pseudoalteromonadaceae	0.0014
Pseudomonadaceae	0.0060
Pseudonocardiaceae	0.0006
Psychromonadaceae	0.0009
Rhizobiaceae	0.0113
Rhodobacteraceae	0.0247
Rhodocyclaceae	0.0020
Rhodospirillaceae	0.0048
Rhodothermaceae	0.0034
Rickettsiaceae	0.0079
Rikenellaceae	0.0048
Rubrobacteraceae	0.0014
Ruminococcaceae	0.0102
Shewanellaceae	0.0031
Sphaerobacteraceae	0.0017
Sphingobacteriaceae	0.0028
Sphingomonadaceae	0.0020
Spirochaetaceae	0.0028
Spiroplasmataceae	0.0017
Staphylococcaceae	0.0105
Streptococcaceae	0.0167
Streptomycetaceae	0.0187
Streptosporangiaceae	0.0006
Sulfolobaceae	0.0006
Synergistaceae	0.0043
Syntrophaceae	0.0006
Syntrophobacteraceae	0.0006
Syntrophomonadaceae	0.0017
Thermaceae	0.0045
Thermoanaerobacteraceae	0.0031
Thermoanaerobacterales Family III. Incertae Sedis	0.0017
Thermodesulfobiaceae	0.0031
Thermomonosporaceae	0.0017
Thermotogaceae	0.0065
Veillonellaceae	0.0065
Verrucomicrobiaceae	0.0040
Vibrionaceae	0.0077
Xanthobacteraceae	0.0006
Xanthomonadaceae	0.0037
unclassified	0.0661
