taxa	abundance
Acholeplasmataceae	0.0016
Acidaminococcaceae	0.0033
Aerococcaceae	0.0016
Bacillaceae	0.0524
Bacteroidaceae	0.1097
Bifidobacteriaceae	0.0376
Brucellaceae	0.0016
Burkholderiaceae	0.0016
Carnobacteriaceae	0.0016
Chlamydiaceae	0.0016
Clostridiaceae	0.2226
Comamonadaceae	0.0016
Coriobacteriaceae	0.0016
Desulfovibrionaceae	0.0180
Desulfurococcaceae	0.0016
Enterobacteriaceae	0.0295
Enterococcaceae	0.0393
Erysipelotrichaceae	0.0393
Eubacteriaceae	0.0491
Flavobacteriaceae	0.0016
Gemmatimonadaceae	0.0016
Halothiobacillaceae	0.0016
Lachnospiraceae	0.0360
Lactobacillaceae	0.0082
Leuconostocaceae	0.0016
Methanospirillaceae	0.0016
Methylobacteriaceae	0.0016
Mycoplasmataceae	0.0016
Neisseriaceae	0.0049
Nitrosopumilaceae	0.0016
Nostocaceae	0.0016
Phyllobacteriaceae	0.0016
Polyangiaceae	0.0016
Porphyromonadaceae	0.0344
Pseudomonadaceae	0.0016
Rhizobiaceae	0.0033
Rickettsiaceae	0.0033
Rubrobacteraceae	0.0016
Ruminococcaceae	0.1506
Sphingomonadaceae	0.0016
Streptococcaceae	0.0033
Streptomycetaceae	0.0016
Synergistaceae	0.0016
Thermoanaerobacterales Family III. Incertae Sedis	0.0016
Thermodesulfobiaceae	0.0016
Veillonellaceae	0.0033
unclassified	0.1080
