taxa	abundance
Acholeplasmatales	0.0011
Actinomycetales	0.0066
Alteromonadales	0.0011
Bacillales	0.0387
Bacteroidales	0.1305
Bifidobacteriales	0.0254
Burkholderiales	0.0243
Cardiobacteriales	0.0011
Chlamydiales	0.0022
Chroococcales	0.0011
Clostridiales	0.6504
Coriobacteriales	0.0011
Desulfobacterales	0.0011
Desulfovibrionales	0.0155
Elusimicrobiales	0.0011
Enterobacteriales	0.0133
Erysipelotrichales	0.0277
Fibrobacterales	0.0011
Flavobacteriales	0.0022
Fusobacteriales	0.0011
Gallionellales	0.0011
Hydrogenophilales	0.0011
Lactobacillales	0.0111
Mariprofundales	0.0011
Methanosarcinales	0.0011
Methylacidiphilales	0.0011
Mycoplasmatales	0.0011
Neisseriales	0.0022
Planctomycetales	0.0011
Prochlorales	0.0011
Pseudomonadales	0.0022
Rhizobiales	0.0066
Rhodobacterales	0.0022
Rickettsiales	0.0011
Selenomonadales	0.0044
Sphingobacteriales	0.0011
Spirochaetales	0.0033
Sulfolobales	0.0011
Synergistales	0.0011
Thermoanaerobacterales	0.0022
Thermotogales	0.0011
Thiotrichales	0.0011
unclassified	0.0033
