taxa	abundance
Acidaminococcus	0.0054
Alistipes	0.0054
Alteromonas	0.0027
Anaerofustis	0.0027
Bacillus	0.0027
Bacteroides	0.1294
Bifidobacterium	0.0539
Blautia	0.0674
Buchnera	0.0027
Burkholderia	0.0027
Butyrivibrio	0.0108
Campylobacter	0.0027
Catenibacterium	0.0054
Catenulispora	0.0027
Chlamydia	0.0027
Clostridium	0.0404
Coprococcus	0.0350
Desulfovibrio	0.0162
Dorea	0.0054
Erysipelothrix	0.0027
Escherichia	0.0216
Ethanoligenens	0.0108
Eubacterium	0.0323
Faecalibacterium	0.1321
Glaciecola	0.0027
Halobacterium	0.0027
Hyphomonas	0.0027
Jannaschia	0.0027
Lactobacillus	0.0135
Leptospira	0.0027
Magnetococcus	0.0054
Mesoplasma	0.0027
Methanobrevibacter	0.0027
Mycoplasma	0.0027
Oxalobacter	0.0027
Prevotella	0.0027
Propionibacterium	0.0027
Roseburia	0.0027
Ruminococcus	0.1213
Salmonella	0.0108
Selenomonas	0.0027
Shuttleworthia	0.0027
Sinorhizobium	0.0027
Streptococcus	0.0054
Subdoligranulum	0.0566
Variovorax	0.0027
Xanthomonas	0.0027
Yersinia	0.0027
Zunongwangia	0.0027
unclassified	0.1402
