taxa	abundance
Acidaminococcaceae	0.0054
Alteromonadaceae	0.0054
Bacillaceae	0.0027
Bacteroidaceae	0.1294
Bifidobacteriaceae	0.0539
Burkholderiaceae	0.0027
Campylobacteraceae	0.0027
Catenulisporaceae	0.0027
Chlamydiaceae	0.0027
Clostridiaceae	0.0404
Comamonadaceae	0.0027
Desulfovibrionaceae	0.0162
Enterobacteriaceae	0.0377
Entomoplasmataceae	0.0027
Erysipelotrichaceae	0.0728
Eubacteriaceae	0.0350
Flavobacteriaceae	0.0027
Halobacteriaceae	0.0027
Hyphomonadaceae	0.0027
Lachnospiraceae	0.0728
Lactobacillaceae	0.0135
Leptospiraceae	0.0027
Methanobacteriaceae	0.0027
Mycoplasmataceae	0.0027
Oxalobacteraceae	0.0027
Prevotellaceae	0.0027
Propionibacteriaceae	0.0027
Rhizobiaceae	0.0027
Rhodobacteraceae	0.0027
Rikenellaceae	0.0054
Ruminococcaceae	0.3423
Streptococcaceae	0.0054
Veillonellaceae	0.0054
Xanthomonadaceae	0.0027
unclassified	0.1078
