taxa	abundance
Actinomycetales	0.0054
Alteromonadales	0.0054
Bacillales	0.0027
Bacteroidales	0.1375
Bifidobacteriales	0.0539
Burkholderiales	0.0081
Campylobacterales	0.0027
Chlamydiales	0.0027
Clostridiales	0.5822
Desulfovibrionales	0.0162
Enterobacteriales	0.0377
Entomoplasmatales	0.0027
Erysipelotrichales	0.0728
Flavobacteriales	0.0027
Halobacteriales	0.0027
Lactobacillales	0.0189
Methanobacteriales	0.0027
Methylophilales	0.0027
Mycoplasmatales	0.0027
Rhizobiales	0.0027
Rhodobacterales	0.0054
Rickettsiales	0.0027
Selenomonadales	0.0108
Spirochaetales	0.0027
Xanthomonadales	0.0027
unclassified	0.0108
