taxa	abundance
Acidobacteriia	0.0008
Actinobacteria (class)	0.2037
Alphaproteobacteria	0.0983
Aquificae (class)	0.0057
Archaeoglobi	0.0003
Bacilli	0.1187
Bacteroidia	0.0139
Betaproteobacteria	0.0416
Chlamydiia	0.0102
Chlorobia	0.0020
Chloroflexi (class)	0.0023
Clostridia	0.0912
Cytophagia	0.0034
Dehalococcoidetes	0.0003
Deinococci	0.0023
Deltaproteobacteria	0.0232
Dictyoglomia	0.0008
Elusimicrobia (class)	0.0028
Epsilonproteobacteria	0.0164
Erysipelotrichi	0.0278
Fibrobacteria	0.0006
Flavobacteriia	0.0074
Fusobacteriia	0.0037
Gammaproteobacteria	0.1433
Gemmatimonadetes (class)	0.0023
Gloeobacteria	0.0008
Mollicutes	0.0926
Negativicutes	0.0054
Nitrospira (class)	0.0023
Opitutae	0.0017
Planctomycetia	0.0068
Solibacteres	0.0023
Spartobacteria	0.0017
Sphingobacteriia	0.0025
Spirochaetia	0.0207
Synergistia	0.0042
Thermomicrobia (class)	0.0011
Thermoprotei	0.0006
Thermotogae (class)	0.0076
Verrucomicrobiae	0.0017
Zetaproteobacteria	0.0011
unclassified	0.0238
