taxa	abundance
Abiotrophia	0.0040
Acaryochloris	0.0003
Acholeplasma	0.0062
Achromobacter	0.0008
Acidaminococcus	0.0011
Acidimicrobium	0.0025
Acidiphilium	0.0011
Acidithiobacillus	0.0011
Acidobacterium	0.0008
Acidothermus	0.0045
Acidovorax	0.0020
Acinetobacter	0.0085
Actinobacillus	0.0025
Actinomyces	0.0059
Actinosynnema	0.0006
Aeromicrobium	0.0014
Aeromonas	0.0003
Afipia	0.0006
Aggregatibacter	0.0003
Agrobacterium	0.0011
Ahrensia	0.0003
Akkermansia	0.0008
Albidiferax	0.0008
Alcanivorax	0.0006
Algoriphagus	0.0008
Alicycliphilus	0.0006
Alicyclobacillus	0.0008
Aliivibrio	0.0003
Alistipes	0.0008
Alkaliphilus	0.0014
Allochromatium	0.0008
Ammonifex	0.0006
Anaerobaculum	0.0008
Anaerococcus	0.0017
Anaerofustis	0.0020
Anaeromyxobacter	0.0006
Anaerostipes	0.0011
Anaerotruncus	0.0011
Anaplasma	0.0003
Aquifex	0.0003
Archaeoglobus	0.0003
Arcobacter	0.0011
Aromatoleum	0.0006
Arsenophonus	0.0008
Arthrobacter	0.0181
Asticcacaulis	0.0011
Atopobium	0.0017
Aurantimonas	0.0008
Azoarcus	0.0008
Azorhizobium	0.0003
Azospirillum	0.0003
Azotobacter	0.0006
Bacillus	0.0057
Bacteroides	0.0023
Bartonella	0.0028
Basfia	0.0006
Bdellovibrio	0.0011
Beggiatoa	0.0011
Beijerinckia	0.0006
Bermanella	0.0008
Beutenbergia	0.0008
Bifidobacterium	0.0085
Blastopirellula	0.0011
Blattabacterium	0.0008
Blautia	0.0006
Bordetella	0.0006
Borrelia	0.0116
Brachybacterium	0.0020
Brachyspira	0.0006
Bradyrhizobium	0.0017
Brevibacillus	0.0006
Brevibacterium	0.0006
Brevundimonas	0.0006
Brucella	0.0042
Buchnera	0.0113
Bulleidia	0.0014
Burkholderia	0.0059
Butyrivibrio	0.0003
Caldanaerobacter	0.0020
Caldicellulosiruptor	0.0017
Caminibacter	0.0006
Campylobacter	0.0037
Candidatus Accumulibacter	0.0008
Candidatus Amoebophilus	0.0008
Candidatus Azobacteroides	0.0017
Candidatus Blochmannia	0.0040
Candidatus Desulforudis	0.0008
Candidatus Hamiltonella	0.0014
Candidatus Korarchaeum	0.0003
Candidatus Koribacter	0.0011
Candidatus Liberibacter	0.0011
Candidatus Pelagibacter	0.0011
Candidatus Phytoplasma	0.0686
Candidatus Protochlamydia	0.0003
Candidatus Regiella	0.0017
Candidatus Solibacter	0.0023
Capnocytophaga	0.0003
Carboxydothermus	0.0011
Cardiobacterium	0.0006
Catenibacterium	0.0068
