taxa	abundance
Acholeplasmatales	0.0748
Acidimicrobiales	0.0025
Acidithiobacillales	0.0011
Acidobacteriales	0.0008
Actinomycetales	0.1810
Aeromonadales	0.0003
Alteromonadales	0.0108
Aquificales	0.0057
Archaeoglobales	0.0003
Bacillales	0.0312
Bacteroidales	0.0139
Bacteroidetes Order II. Incertae sedis	0.0020
Bdellovibrionales	0.0011
Bifidobacteriales	0.0119
Burkholderiales	0.0224
Campylobacterales	0.0130
Cardiobacteriales	0.0008
Caulobacterales	0.0062
Chlamydiales	0.0102
Chlorobiales	0.0020
Chloroflexales	0.0008
Chromatiales	0.0074
Chroococcales	0.0065
Clostridiales	0.0782
Coriobacteriales	0.0054
Cytophagales	0.0034
Deinococcales	0.0011
Desulfobacterales	0.0040
Desulfovibrionales	0.0051
Desulfurococcales	0.0003
Desulfuromonadales	0.0051
Dictyoglomales	0.0008
Elusimicrobiales	0.0028
Enterobacteriales	0.0737
Entomoplasmatales	0.0020
Erysipelotrichales	0.0278
Fibrobacterales	0.0006
Flavobacteriales	0.0071
Fusobacteriales	0.0037
Gallionellales	0.0011
Gemmatimonadales	0.0023
Gloeobacterales	0.0008
Halanaerobiales	0.0017
Herpetosiphonales	0.0014
Hydrogenophilales	0.0034
Lactobacillales	0.0875
Legionellales	0.0025
Mariprofundales	0.0011
Methylacidiphilales	0.0023
Methylococcales	0.0011
Methylophilales	0.0031
Mycoplasmatales	0.0159
Myxococcales	0.0062
Natranaerobiales	0.0008
Nautiliales	0.0014
Neisseriales	0.0065
Nitrosomonadales	0.0020
Nitrospirales	0.0023
Oceanospirillales	0.0048
Oscillatoriales	0.0025
Parvularculales	0.0008
Pasteurellales	0.0059
Planctomycetales	0.0068
Prochlorales	0.0074
Pseudomonadales	0.0159
Rhizobiales	0.0357
Rhodobacterales	0.0323
Rhodocyclales	0.0023
Rhodospirillales	0.0074
Rickettsiales	0.0076
Rubrobacterales	0.0011
Selenomonadales	0.0054
Solibacterales	0.0023
Sphaerobacterales	0.0003
Sphingobacteriales	0.0025
Sphingomonadales	0.0082
Spirochaetales	0.0207
Synergistales	0.0042
Syntrophobacterales	0.0017
Thermales	0.0011
Thermoanaerobacterales	0.0105
Thermomicrobiales	0.0008
Thermoproteales	0.0003
Thermotogales	0.0076
Thiotrichales	0.0082
Verrucomicrobiales	0.0017
Vibrionales	0.0025
Xanthomonadales	0.0037
unclassified	0.0161
