taxa	abundance
Abiotrophia	0.0039
Acidaminococcus	0.0078
Acinetobacter	0.0039
Alicyclobacillus	0.0039
Anaerostipes	0.0156
Anaerotruncus	0.0078
Anaplasma	0.0039
Bacteroides	0.2646
Beggiatoa	0.0078
Bifidobacterium	0.0506
Blautia	0.0272
Brucella	0.0039
Buchnera	0.0039
Butyrivibrio	0.0078
Campylobacter	0.0078
Carnobacterium	0.0039
Catenibacterium	0.0078
Clostridium	0.0428
Coprococcus	0.0078
Coprothermobacter	0.0039
Dorea	0.0039
Eggerthella	0.0039
Enterococcus	0.0117
Escherichia	0.0272
Ethanoligenens	0.0156
Eubacterium	0.0156
Faecalibacterium	0.0467
Filifactor	0.0039
Haloarcula	0.0039
Halobacterium	0.0039
Hyphomonas	0.0039
Lactobacillus	0.0078
Magnetococcus	0.0039
Megasphaera	0.0039
Mycoplasma	0.0039
Nitrosopumilus	0.0039
Novosphingobium	0.0039
Paenibacillus	0.0039
Parabacteroides	0.0039
Prevotella	0.0039
Roseburia	0.0039
Roseobacter	0.0039
Ruminococcus	0.1051
Shuttleworthia	0.0039
Streptococcus	0.0039
Subdoligranulum	0.0078
Veillonella	0.0428
Wolbachia	0.0039
unclassified	0.1595
