taxa	abundance
Acetobacteraceae	0.0025
Acholeplasmataceae	0.0767
Acidimicrobiaceae	0.0017
Acidithiobacillaceae	0.0008
Acidobacteriaceae	0.0011
Acidothermaceae	0.0042
Actinomycetaceae	0.0091
Actinosynnemataceae	0.0014
Aerococcaceae	0.0057
Aeromonadaceae	0.0011
Alcaligenaceae	0.0008
Alcanivoracaceae	0.0017
Alicyclobacillaceae	0.0008
Alteromonadaceae	0.0011
Anaplasmataceae	0.0045
Aquificaceae	0.0054
Aurantimonadaceae	0.0025
Bacillaceae	0.0054
Bacteroidaceae	0.0014
Bartonellaceae	0.0048
Bdellovibrionaceae	0.0014
Beijerinckiaceae	0.0003
Bifidobacteriaceae	0.0093
Blattabacteriaceae	0.0011
Brachyspiraceae	0.0011
Bradyrhizobiaceae	0.0065
Brevibacteriaceae	0.0017
Brucellaceae	0.0031
Burkholderiaceae	0.0133
Campylobacteraceae	0.0048
Cardiobacteriaceae	0.0028
Carnobacteriaceae	0.0006
Catenulisporaceae	0.0011
Caulobacteraceae	0.0062
Cellulomonadaceae	0.0011
Chlamydiaceae	0.0076
Chlorobiaceae	0.0042
Chloroflexaceae	0.0014
Chromatiaceae	0.0008
Clostridiaceae	0.0283
Clostridiales Family XI. Incertae Sedis	0.0071
Clostridiales Family XVIII. Incertae Sedis	0.0014
Colwelliaceae	0.0017
Comamonadaceae	0.0040
Coriobacteriaceae	0.0042
Corynebacteriaceae	0.0122
Coxiellaceae	0.0037
Cyclobacteriaceae	0.0006
Cystobacteraceae	0.0011
Cytophagaceae	0.0025
Deinococcaceae	0.0020
Dermabacteraceae	0.0025
Dermacoccaceae	0.0037
Desulfobacteraceae	0.0017
Desulfobulbaceae	0.0020
Desulfohalobiaceae	0.0003
Desulfomicrobiaceae	0.0006
Desulfovibrionaceae	0.0028
Desulfurococcaceae	0.0003
Desulfuromonadaceae	0.0003
Dictyoglomaceae	0.0017
Ectothiorhodospiraceae	0.0037
Elusimicrobiaceae	0.0031
Enterobacteriaceae	0.0693
Enterococcaceae	0.0023
Entomoplasmataceae	0.0023
Erysipelotrichaceae	0.0232
Erythrobacteraceae	0.0028
Eubacteriaceae	0.0034
Ferrimonadaceae	0.0011
Fibrobacteraceae	0.0017
Flavobacteriaceae	0.0074
Francisellaceae	0.0068
Frankiaceae	0.0221
Fusobacteriaceae	0.0011
Gallionellaceae	0.0011
Gemmatimonadaceae	0.0025
Geobacteraceae	0.0025
Geodermatophilaceae	0.0040
Glycomycetaceae	0.0054
Gordoniaceae	0.0025
Hahellaceae	0.0006
Halanaerobiaceae	0.0006
Halobacteriaceae	0.0003
Halomonadaceae	0.0006
Halothiobacillaceae	0.0025
Helicobacteraceae	0.0065
Herpetosiphonaceae	0.0017
Hydrogenophilaceae	0.0008
