taxa	abundance
Acidobacteria	0.0028
Actinobacteria	0.2139
Aquificae	0.0074
Bacteroidetes	0.0255
Chlamydiae	0.0085
Chlorobi	0.0042
Chloroflexi	0.0042
Crenarchaeota	0.0003
Cyanobacteria	0.0198
Deinococcus-Thermus	0.0034
Dictyoglomi	0.0017
Elusimicrobia	0.0031
Euryarchaeota	0.0008
Fibrobacteres	0.0017
Firmicutes	0.2105
Fusobacteria	0.0025
Gemmatimonadetes	0.0025
Nitrospirae	0.0028
Planctomycetes	0.0062
Proteobacteria	0.3400
Spirochaetes	0.0218
Synergistetes	0.0074
Tenericutes	0.0948
Thermotogae	0.0068
Verrucomicrobia	0.0074
