taxa	abundance
Acidobacteriia	0.0011
Actinobacteria (class)	0.2139
Alphaproteobacteria	0.1033
Aquificae (class)	0.0074
Bacilli	0.1013
Bacteroidia	0.0085
Betaproteobacteria	0.0410
Chlamydiia	0.0085
Chlorobia	0.0042
Chloroflexi (class)	0.0031
Clostridia	0.0829
Cytophagia	0.0031
Dehalococcoidetes	0.0003
Deinococci	0.0034
Deltaproteobacteria	0.0226
Dictyoglomia	0.0017
Elusimicrobia (class)	0.0031
Epsilonproteobacteria	0.0153
Erysipelotrichi	0.0232
Fibrobacteria	0.0017
Flavobacteriia	0.0113
Fusobacteriia	0.0025
Gammaproteobacteria	0.1564
Gemmatimonadetes (class)	0.0025
Gloeobacteria	0.0011
Halobacteria	0.0003
Methanomicrobia	0.0003
Mollicutes	0.0948
Negativicutes	0.0031
Nitrospira (class)	0.0028
Opitutae	0.0014
Planctomycetia	0.0062
Solibacteres	0.0011
Spartobacteria	0.0006
Sphingobacteriia	0.0006
Spirochaetia	0.0218
Synergistia	0.0074
Thermomicrobia (class)	0.0008
Thermoplasmata	0.0003
Thermoprotei	0.0003
Thermotogae (class)	0.0068
Verrucomicrobiae	0.0037
Zetaproteobacteria	0.0003
unclassified	0.0240
