taxa	abundance
Marinobacter	0.0006
Marinomonas	0.0020
Mariprofundus	0.0003
Maritimibacter	0.0011
Megamonas	0.0008
Megasphaera	0.0003
Meiothermus	0.0011
Mesoplasma	0.0023
Mesorhizobium	0.0008
Methanosarcina	0.0003
Methylacidiphilum	0.0017
Methylibium	0.0011
Methylobacillus	0.0006
Methylobacterium	0.0042
Methylocella	0.0003
Methylophaga	0.0008
Methylotenera	0.0008
Methylovorus	0.0006
Micrococcus	0.0008
Microcoleus	0.0003
Microcystis	0.0006
Micromonospora	0.0011
Microscilla	0.0011
Mitsuokella	0.0006
Mobiluncus	0.0028
Moraxella	0.0017
Mycobacterium	0.0156
Mycoplasma	0.0153
Natranaerobius	0.0011
Nautilia	0.0008
Neisseria	0.0014
Neorickettsia	0.0008
Neptuniibacter	0.0003
Nitratiruptor	0.0003
Nitrobacter	0.0008
Nitrococcus	0.0014
Nitrosococcus	0.0003
Nitrosomonas	0.0020
Nitrosospira	0.0017
Nocardioides	0.0008
Nocardiopsis	0.0008
Nodularia	0.0008
Nostoc	0.0003
Novosphingobium	0.0008
Oceanibulbus	0.0006
Oceanicaulis	0.0014
Oceanicola	0.0020
Oceanobacillus	0.0008
Ochrobactrum	0.0008
Oenococcus	0.0235
Oligotropha	0.0003
Opitutus	0.0014
Oribacterium	0.0006
Orientia	0.0025
Oxalobacter	0.0025
Paenibacillus	0.0017
Paludibacter	0.0006
Pantoea	0.0003
Parabacteroides	0.0008
Paracoccus	0.0017
Parvibaculum	0.0023
Parvularcula	0.0003
Pediococcus	0.0006
Pelagibaca	0.0003
Pelobacter	0.0023
Pelodictyon	0.0011
Peptoniphilus	0.0008
Peptostreptococcus	0.0014
Petrotoga	0.0023
Phenylobacterium	0.0008
Photobacterium	0.0017
Photorhabdus	0.0008
Pirellula	0.0008
Planctomyces	0.0025
Plesiocystis	0.0020
Polaribacter	0.0008
Polaromonas	0.0008
Polynucleobacter	0.0037
Porphyromonas	0.0008
Prevotella	0.0031
Prochlorococcus	0.0057
Propionibacterium	0.0042
Prosthecochloris	0.0008
Proteus	0.0011
Providencia	0.0008
Pseudoalteromonas	0.0014
Pseudomonas	0.0065
Pseudoxanthomonas	0.0003
Psychrobacter	0.0008
Psychroflexus	0.0003
Psychromonas	0.0008
Pyramidobacter	0.0017
Ralstonia	0.0023
Raphidiopsis	0.0003
Reinekea	0.0006
Renibacterium	0.0040
Rhizobium	0.0042
Rhodobacter	0.0042
Rhodococcus	0.0031
Rhodomicrobium	0.0014
Rhodopirellula	0.0008
Rhodopseudomonas	0.0034
Rhodospirillum	0.0011
Rhodothermus	0.0006
Rickettsia	0.0023
Rickettsiella	0.0020
Riemerella	0.0003
Robiginitalea	0.0003
Roseburia	0.0008
Roseibium	0.0006
Roseiflexus	0.0006
Roseobacter	0.0023
Roseovarius	0.0023
Rothia	0.0122
Rubrobacter	0.0014
Ruegeria	0.0020
Ruminococcus	0.0076
Saccharomonospora	0.0025
Saccharopolyspora	0.0006
Sagittula	0.0011
Salinibacter	0.0008
Salinispora	0.0008
Salmonella	0.0260
Sanguibacter	0.0003
Sebaldella	0.0008
Selenomonas	0.0006
Serratia	0.0003
Shewanella	0.0057
Shuttleworthia	0.0011
Sideroxydans	0.0008
Simonsiella	0.0006
Sinorhizobium	0.0003
Slackia	0.0008
Sodalis	0.0003
Sorangium	0.0006
