taxa	abundance
Acholeplasmataceae	0.0011
Acidaminococcaceae	0.0033
Actinomycetaceae	0.0011
Actinosynnemataceae	0.0011
Aerococcaceae	0.0011
Bacillaceae	0.0332
Bacteroidaceae	0.0962
Bartonellaceae	0.0011
Bifidobacteriaceae	0.0254
Bradyrhizobiaceae	0.0011
Burkholderiaceae	0.0055
Cardiobacteriaceae	0.0011
Chlamydiaceae	0.0022
Clostridiaceae	0.1361
Comamonadaceae	0.0011
Coriobacteriaceae	0.0011
Corynebacteriaceae	0.0011
Desulfobacteraceae	0.0011
Desulfovibrionaceae	0.0155
Elusimicrobiaceae	0.0011
Enterobacteriaceae	0.0133
Erysipelotrichaceae	0.0277
Eubacteriaceae	0.0454
Fibrobacteraceae	0.0011
Flavobacteriaceae	0.0022
Francisellaceae	0.0011
Gallionellaceae	0.0011
Hydrogenophilaceae	0.0011
Hyphomicrobiaceae	0.0022
Lachnospiraceae	0.1051
Lactobacillaceae	0.0088
Leptospiraceae	0.0011
Leptotrichiaceae	0.0011
Listeriaceae	0.0011
Mariprofundaceae	0.0011
Methanosarcinaceae	0.0011
Methylacidiphilaceae	0.0011
Methylobacteriaceae	0.0011
Micromonosporaceae	0.0011
Moraxellaceae	0.0022
Mycobacteriaceae	0.0011
Mycoplasmataceae	0.0011
Neisseriaceae	0.0022
Oxalobacteraceae	0.0177
Peptococcaceae	0.0011
Phyllobacteriaceae	0.0011
Planctomycetaceae	0.0011
Porphyromonadaceae	0.0332
Prochlorococcaceae	0.0011
Propionibacteriaceae	0.0011
Psychromonadaceae	0.0011
Rhodobacteraceae	0.0022
Rickettsiaceae	0.0011
Rikenellaceae	0.0011
Ruminococcaceae	0.2754
Sphingobacteriaceae	0.0011
Spirochaetaceae	0.0022
Staphylococcaceae	0.0022
Streptococcaceae	0.0011
Sulfolobaceae	0.0011
Synergistaceae	0.0011
Thermoanaerobacteraceae	0.0011
Thermoanaerobacterales Family III. Incertae Sedis	0.0011
Thermotogaceae	0.0011
Veillonellaceae	0.0011
unclassified	0.0940
