taxa	abundance
Acetobacteraceae	0.0017
Acholeplasmataceae	0.0834
Acidaminococcaceae	0.0003
Acidimicrobiaceae	0.0017
Acidithiobacillaceae	0.0006
Acidothermaceae	0.0034
Actinomycetaceae	0.0099
Actinosynnemataceae	0.0017
Aerococcaceae	0.0065
Aeromonadaceae	0.0020
Alcaligenaceae	0.0017
Alcanivoracaceae	0.0014
Alicyclobacillaceae	0.0008
Alteromonadaceae	0.0014
Anaplasmataceae	0.0031
Aquificaceae	0.0028
Aurantimonadaceae	0.0025
Bacillaceae	0.0088
Bacteroidaceae	0.0025
Bartonellaceae	0.0028
Bdellovibrionaceae	0.0020
Beijerinckiaceae	0.0017
Beutenbergiaceae	0.0006
Bifidobacteriaceae	0.0170
Brachyspiraceae	0.0011
Bradyrhizobiaceae	0.0071
Brevibacteriaceae	0.0011
Brucellaceae	0.0051
Burkholderiaceae	0.0116
Campylobacteraceae	0.0062
Cardiobacteriaceae	0.0017
Catenulisporaceae	0.0034
Caulobacteraceae	0.0057
Chlamydiaceae	0.0079
Chlorobiaceae	0.0040
Chloroflexaceae	0.0023
Chromatiaceae	0.0017
Clostridiaceae	0.0348
Clostridiales Family XI. Incertae Sedis	0.0051
Clostridiales Family XVIII. Incertae Sedis	0.0011
Colwelliaceae	0.0003
Comamonadaceae	0.0042
Coriobacteriaceae	0.0065
Corynebacteriaceae	0.0079
Coxiellaceae	0.0034
Cyclobacteriaceae	0.0006
Cystobacteraceae	0.0020
Cytophagaceae	0.0034
Deinococcaceae	0.0017
Dermabacteraceae	0.0011
Dermacoccaceae	0.0040
Desulfobacteraceae	0.0020
Desulfobulbaceae	0.0025
Desulfohalobiaceae	0.0008
Desulfomicrobiaceae	0.0003
Desulfovibrionaceae	0.0045
Desulfuromonadaceae	0.0003
Dictyoglomaceae	0.0008
Ectothiorhodospiraceae	0.0037
Elusimicrobiaceae	0.0020
Enterobacteriaceae	0.0727
Enterococcaceae	0.0017
Entomoplasmataceae	0.0011
Erysipelotrichaceae	0.0294
Erythrobacteraceae	0.0023
Eubacteriaceae	0.0051
Ferrimonadaceae	0.0006
Fibrobacteraceae	0.0008
Flavobacteriaceae	0.0071
Francisellaceae	0.0040
Frankiaceae	0.0288
Fusobacteriaceae	0.0011
Gallionellaceae	0.0020
Gemmatimonadaceae	0.0017
Geobacteraceae	0.0025
Geodermatophilaceae	0.0034
Glycomycetaceae	0.0023
Gordoniaceae	0.0020
Halanaerobiaceae	0.0011
Halomonadaceae	0.0011
Halothiobacillaceae	0.0011
Helicobacteraceae	0.0048
Heliobacteriaceae	0.0011
Herpetosiphonaceae	0.0023
Hydrogenophilaceae	0.0017
Hydrogenothermaceae	0.0006
Hyphomicrobiaceae	0.0037
Hyphomonadaceae	0.0054
Idiomarinaceae	0.0008
Intrasporangiaceae	0.0283
Jonesiaceae	0.0011
Kineosporiaceae	0.0023
Lachnospiraceae	0.0113
Lactobacillaceae	0.0181
Legionellaceae	0.0020
Leptospiraceae	0.0057
Leptotrichiaceae	0.0008
Leuconostocaceae	0.0458
Listeriaceae	0.0110
Mariprofundaceae	0.0003
Methylacidiphilaceae	0.0011
Methylobacteriaceae	0.0037
Methylococcaceae	0.0014
Methylophilaceae	0.0025
Microbacteriaceae	0.0023
Micrococcaceae	0.0402
Micromonosporaceae	0.0025
Moraxellaceae	0.0065
Mycobacteriaceae	0.0164
Mycoplasmataceae	0.0119
Myxococcaceae	0.0014
Nannocystaceae	0.0017
Natranaerobiaceae	0.0008
Nautiliaceae	0.0008
Neisseriaceae	0.0071
Nitrosomonadaceae	0.0020
Nitrospiraceae	0.0023
Nocardiaceae	0.0037
Nocardioidaceae	0.0031
Nocardiopsaceae	0.0023
Nostocaceae	0.0006
Oceanospirillaceae	0.0020
Opitutaceae	0.0008
Oxalobacteraceae	0.0025
Paenibacillaceae	0.0031
Parachlamydiaceae	0.0006
Parvularculaceae	0.0008
Pasteurellaceae	0.0051
Pelobacteraceae	0.0008
Peptococcaceae	0.0028
Peptostreptococcaceae	0.0028
Phyllobacteriaceae	0.0042
Piscirickettsiaceae	0.0031
Planctomycetaceae	0.0068
Polyangiaceae	0.0003
Porphyromonadaceae	0.0025
Prevotellaceae	0.0045
Prochlorococcaceae	0.0054
Propionibacteriaceae	0.0037
Pseudoalteromonadaceae	0.0014
Pseudomonadaceae	0.0074
Pseudonocardiaceae	0.0028
Psychromonadaceae	0.0006
Rhizobiaceae	0.0082
Rhodobacteraceae	0.0223
Rhodocyclaceae	0.0023
Rhodospirillaceae	0.0042
Rhodothermaceae	0.0017
Rickettsiaceae	0.0042
Rikenellaceae	0.0003
Rubrobacteraceae	0.0011
Ruminococcaceae	0.0141
Sanguibacteraceae	0.0008
Shewanellaceae	0.0034
Solibacteraceae	0.0014
Sphaerobacteraceae	0.0003
Sphingobacteriaceae	0.0011
Sphingomonadaceae	0.0040
Spirochaetaceae	0.0173
Staphylococcaceae	0.0059
Streptococcaceae	0.0071
Streptomycetaceae	0.0059
Streptosporangiaceae	0.0011
Synergistaceae	0.0025
Syntrophaceae	0.0014
Syntrophobacteraceae	0.0003
Syntrophomonadaceae	0.0017
Thermaceae	0.0023
Thermoanaerobacteraceae	0.0011
Thermoanaerobacterales Family III. Incertae Sedis	0.0025
Thermodesulfobiaceae	0.0017
Thermomicrobiaceae	0.0017
Thermomonosporaceae	0.0020
Thermoproteaceae	0.0003
Thermotogaceae	0.0062
Thiotrichaceae	0.0006
Tsukamurellaceae	0.0011
Veillonellaceae	0.0037
Verrucomicrobiaceae	0.0014
Vibrionaceae	0.0037
Xanthobacteraceae	0.0006
Xanthomonadaceae	0.0045
unclassified	0.0441
