taxa	abundance
Abiotrophia	0.0014
Acaryochloris	0.0008
Acetobacter	0.0008
Acholeplasma	0.0037
Achromobacter	0.0008
Acidaminococcus	0.0014
Acidimicrobium	0.0017
Acidiphilium	0.0014
Acidobacterium	0.0008
Acidothermus	0.0020
Acidovorax	0.0023
Acinetobacter	0.0040
Actinobacillus	0.0023
Actinomyces	0.0057
Aeromicrobium	0.0023
Aeromonas	0.0006
Afipia	0.0006
Aggregatibacter	0.0020
Agrobacterium	0.0020
Akkermansia	0.0017
Albidiferax	0.0025
Alcanivorax	0.0011
Algoriphagus	0.0003
Alicyclobacillus	0.0020
Aliivibrio	0.0017
Alistipes	0.0003
Alkalilimnicola	0.0008
Alkaliphilus	0.0020
Allochromatium	0.0003
Anabaena	0.0003
Anaerobaculum	0.0025
Anaerococcus	0.0028
Anaerofustis	0.0025
Anaeromyxobacter	0.0008
Anaerostipes	0.0008
Anaerotruncus	0.0020
Anaplasma	0.0011
Anoxybacillus	0.0003
Aquifex	0.0006
Arcobacter	0.0011
Aromatoleum	0.0011
Arsenophonus	0.0011
Arthrobacter	0.0008
Arthrospira	0.0006
Asticcacaulis	0.0008
Atopobium	0.0014
Azoarcus	0.0014
Azorhizobium	0.0023
Bacillus	0.0079
Bacteroides	0.0025
Bartonella	0.0037
Bdellovibrio	0.0008
Beggiatoa	0.0008
Beijerinckia	0.0003
Bermanella	0.0006
Bifidobacterium	0.0156
Blastopirellula	0.0003
Blattabacterium	0.0011
Blautia	0.0031
Bordetella	0.0023
Borrelia	0.0025
Brachybacterium	0.0017
Brachyspira	0.0011
Bradyrhizobium	0.0023
Brevibacillus	0.0003
Brevibacterium	0.0023
Brevundimonas	0.0014
Brucella	0.0082
Buchnera	0.0127
Bulleidia	0.0023
Burkholderia	0.0136
Butyrivibrio	0.0023
Caldanaerobacter	0.0017
Caldicellulosiruptor	0.0008
Caminibacter	0.0006
Campylobacter	0.0255
Candidatus Accumulibacter	0.0008
Candidatus Amoebophilus	0.0006
Candidatus Azobacteroides	0.0014
Candidatus Blochmannia	0.0040
Candidatus Desulforudis	0.0006
Candidatus Hamiltonella	0.0023
Candidatus Koribacter	0.0008
Candidatus Liberibacter	0.0023
Candidatus Pelagibacter	0.0014
Candidatus Phytoplasma	0.0034
Candidatus Protochlamydia	0.0008
Candidatus Solibacter	0.0006
Capnocytophaga	0.0003
Carboxydothermus	0.0006
Cardiobacterium	0.0017
Carnobacterium	0.0014
Catenulispora	0.0017
Catonella	0.0014
Caulobacter	0.0006
Cellulomonas	0.0014
Cellvibrio	0.0011
Chitinophaga	0.0003
Chlamydia	0.0008
Chlamydophila	0.0006
Chlorobaculum	0.0011
Chlorobium	0.0011
Chloroflexus	0.0003
Chloroherpeton	0.0011
Chromobacterium	0.0011
Chromohalobacter	0.0008
Chryseobacterium	0.0008
Chthoniobacter	0.0014
Citreicella	0.0006
Citrobacter	0.0014
Clavibacter	0.0011
Clostridium	0.0156
Collinsella	0.0023
Colwellia	0.0011
Comamonas	0.0017
Congregibacter	0.0008
Coprococcus	0.0008
Coprothermobacter	0.0065
Corynebacterium	0.0108
Coxiella	0.0011
Croceibacter	0.0008
Crocosphaera	0.0006
Cronobacter	0.0008
Cryptobacterium	0.0006
Cupriavidus	0.0065
Curvibacter	0.0003
Cyanobium	0.0008
Cyanothece	0.0006
Dechloromonas	0.0017
Dehalococcoides	0.0017
Deinococcus	0.0006
Delftia	0.0020
Desulfatibacillum	0.0003
Desulfitobacterium	0.0011
Desulfococcus	0.0014
Desulfohalobium	0.0008
Desulfomicrobium	0.0008
Desulfonatronospira	0.0008
Desulfotomaculum	0.0014
Desulfovibrio	0.0037
Desulfurivibrio	0.0008
Desulfuromonas	0.0017
Dethiobacter	0.0017
Dethiosulfovibrio	0.0011
Dialister	0.0023
Dichelobacter	0.0020
Dickeya	0.0031
Dictyoglomus	0.0008
Dinoroseobacter	0.0006
Dokdonia	0.0006
Dorea	0.0014
Ehrlichia	0.0037
Eikenella	0.0006
Elusimicrobium	0.0011
Endoriftia	0.0008
Enhydrobacter	0.0003
Enterobacter	0.0023
Enterococcus	0.0031
Epulopiscium	0.0020
Erwinia	0.0076
Erysipelothrix	0.0017
Erythrobacter	0.0017
Escherichia	0.0289
Ethanoligenens	0.0008
Eubacterium	0.0042
Exiguobacterium	0.0008
Faecalibacterium	0.0037
Fervidobacterium	0.0006
Fibrobacter	0.0006
Finegoldia	0.0023
Flavobacterium	0.0006
Francisella	0.0243
Frankia	0.0037
Fulvimarina	0.0014
Fusobacterium	0.0020
Gallionella	0.0011
Gemella	0.0006
Gemmata	0.0014
Gemmatimonas	0.0031
Geobacillus	0.0023
Geobacter	0.0037
Glaciecola	0.0014
