taxa	abundance
Acetobacteraceae	0.0040
Acholeplasmataceae	0.0071
Acidaminococcaceae	0.0014
Acidimicrobiaceae	0.0017
Acidobacteriaceae	0.0008
Acidothermaceae	0.0020
Actinomycetaceae	0.0076
Aerococcaceae	0.0014
Aeromonadaceae	0.0014
Alcaligenaceae	0.0031
Alcanivoracaceae	0.0025
Alicyclobacillaceae	0.0020
Alteromonadaceae	0.0037
Anaplasmataceae	0.0068
Aquificaceae	0.0045
Aurantimonadaceae	0.0014
Bacillaceae	0.0144
Bacteroidaceae	0.0025
Bartonellaceae	0.0037
Bdellovibrionaceae	0.0008
Beijerinckiaceae	0.0014
Bifidobacteriaceae	0.0156
Blattabacteriaceae	0.0011
Brachyspiraceae	0.0011
Bradyrhizobiaceae	0.0130
Brevibacteriaceae	0.0023
Brucellaceae	0.0091
Burkholderiaceae	0.0320
Campylobacteraceae	0.0272
Cardiobacteriaceae	0.0037
Carnobacteriaceae	0.0025
Catenulisporaceae	0.0017
Caulobacteraceae	0.0031
Cellulomonadaceae	0.0014
Chlamydiaceae	0.0014
Chlorobiaceae	0.0042
Chloroflexaceae	0.0011
Chromatiaceae	0.0014
Clostridiaceae	0.0175
Clostridiales Family XI. Incertae Sedis	0.0057
Clostridiales Family XVIII. Incertae Sedis	0.0006
Colwelliaceae	0.0011
Comamonadaceae	0.0130
Coriobacteriaceae	0.0059
Corynebacteriaceae	0.0108
Coxiellaceae	0.0023
Cyclobacteriaceae	0.0003
Cytophagaceae	0.0040
Deinococcaceae	0.0006
Dermabacteraceae	0.0017
Dermacoccaceae	0.0017
Desulfobacteraceae	0.0017
Desulfobulbaceae	0.0008
Desulfohalobiaceae	0.0017
Desulfomicrobiaceae	0.0008
Desulfovibrionaceae	0.0048
Desulfuromonadaceae	0.0017
Dictyoglomaceae	0.0008
Ectothiorhodospiraceae	0.0068
Elusimicrobiaceae	0.0011
Enterobacteriaceae	0.0974
Enterococcaceae	0.0031
Entomoplasmataceae	0.0017
Erysipelotrichaceae	0.0054
Erythrobacteraceae	0.0017
Eubacteriaceae	0.0068
Fibrobacteraceae	0.0006
Flavobacteriaceae	0.0071
Francisellaceae	0.0243
Frankiaceae	0.0037
Fusobacteriaceae	0.0020
Gallionellaceae	0.0017
Gemmatimonadaceae	0.0031
Geobacteraceae	0.0037
Glycomycetaceae	0.0017
Gordoniaceae	0.0003
Hahellaceae	0.0028
Halanaerobiaceae	0.0006
Halomonadaceae	0.0008
Halothiobacillaceae	0.0008
Helicobacteraceae	0.0037
Herpetosiphonaceae	0.0006
Hydrogenophilaceae	0.0028
Hydrogenothermaceae	0.0014
Hyphomicrobiaceae	0.0034
Hyphomonadaceae	0.0028
Idiomarinaceae	0.0011
Intrasporangiaceae	0.0003
Jonesiaceae	0.0014
Kineosporiaceae	0.0014
Kofleriaceae	0.0017
Lachnospiraceae	0.0099
Lactobacillaceae	0.0243
Legionellaceae	0.0017
Leptospiraceae	0.0017
Leptotrichiaceae	0.0037
Leuconostocaceae	0.0057
Listeriaceae	0.0110
Methanocellaceae	0.0003
Methanosarcinaceae	0.0003
Methylacidiphilaceae	0.0025
Methylobacteriaceae	0.0037
Methylococcaceae	0.0006
Methylophilaceae	0.0028
Microbacteriaceae	0.0017
Micrococcaceae	0.0085
Micromonosporaceae	0.0014
Moraxellaceae	0.0048
Moritellaceae	0.0020
Mycobacteriaceae	0.0062
Mycoplasmataceae	0.0246
Myxococcaceae	0.0020
Nakamurellaceae	0.0017
Natranaerobiaceae	0.0003
Nautiliaceae	0.0017
Neisseriaceae	0.0229
Nitrosomonadaceae	0.0011
Nitrospiraceae	0.0034
Nocardiaceae	0.0020
Nocardioidaceae	0.0048
Nocardiopsaceae	0.0003
Nostocaceae	0.0020
Oceanospirillaceae	0.0014
Opitutaceae	0.0008
Oxalobacteraceae	0.0045
Paenibacillaceae	0.0025
Parachlamydiaceae	0.0008
Parvularculaceae	0.0025
Pasteurellaceae	0.0410
Pelobacteraceae	0.0020
Peptococcaceae	0.0040
Peptostreptococcaceae	0.0008
Phyllobacteriaceae	0.0057
Piscirickettsiaceae	0.0023
Planctomycetaceae	0.0054
Polyangiaceae	0.0011
Porphyromonadaceae	0.0028
Prevotellaceae	0.0059
Prochlorococcaceae	0.0057
Promicromonosporaceae	0.0003
Propionibacteriaceae	0.0031
Pseudoalteromonadaceae	0.0017
Pseudomonadaceae	0.0102
Pseudonocardiaceae	0.0014
Psychromonadaceae	0.0014
Rhizobiaceae	0.0082
Rhodobacteraceae	0.0156
Rhodocyclaceae	0.0045
Rhodospirillaceae	0.0057
Rhodothermaceae	0.0034
Rickettsiaceae	0.0051
Rikenellaceae	0.0003
Rubrobacteraceae	0.0003
Ruminococcaceae	0.0184
Sanguibacteraceae	0.0014
Shewanellaceae	0.0048
Solibacteraceae	0.0006
Sphaerobacteraceae	0.0003
Sphingobacteriaceae	0.0011
Sphingomonadaceae	0.0034
Spirochaetaceae	0.0051
Staphylococcaceae	0.0079
Streptococcaceae	0.0337
Streptomycetaceae	0.0207
Synergistaceae	0.0065
Syntrophaceae	0.0014
Syntrophobacteraceae	0.0008
Syntrophomonadaceae	0.0028
Thermaceae	0.0017
Thermoanaerobacteraceae	0.0042
Thermoanaerobacterales Family III. Incertae Sedis	0.0023
Thermodesulfobiaceae	0.0065
Thermomicrobiaceae	0.0006
Thermomonosporaceae	0.0014
Thermoplasmataceae	0.0003
Thermotogaceae	0.0042
Thiotrichaceae	0.0008
Tsukamurellaceae	0.0014
Veillonellaceae	0.0074
Verrucomicrobiaceae	0.0025
Vibrionaceae	0.0116
Xanthobacteraceae	0.0023
Xanthomonadaceae	0.0082
unclassified	0.0535
