taxa	abundance
Acidobacteriia	0.0008
Actinobacteria (class)	0.1214
Alphaproteobacteria	0.1039
Aquificae (class)	0.0059
Bacilli	0.1101
Bacteroidia	0.0130
Betaproteobacteria	0.0937
Chlamydiia	0.0025
Chlorobia	0.0042
Chloroflexi (class)	0.0017
Clostridia	0.0883
Cytophagia	0.0042
Dehalococcoidetes	0.0017
Deinococci	0.0023
Deltaproteobacteria	0.0252
Dictyoglomia	0.0008
Elusimicrobia (class)	0.0011
Epsilonproteobacteria	0.0340
Erysipelotrichi	0.0054
Fibrobacteria	0.0006
Flavobacteriia	0.0099
Fusobacteriia	0.0057
Gammaproteobacteria	0.2516
Gemmatimonadetes (class)	0.0031
Gloeobacteria	0.0014
Methanomicrobia	0.0006
Mollicutes	0.0334
Negativicutes	0.0088
Nitrospira (class)	0.0034
Opitutae	0.0008
Planctomycetia	0.0054
Solibacteres	0.0006
Spartobacteria	0.0014
Sphingobacteriia	0.0014
Spirochaetia	0.0082
Synergistia	0.0065
Thermomicrobia (class)	0.0008
Thermoplasmata	0.0003
Thermotogae (class)	0.0042
Verrucomicrobiae	0.0045
unclassified	0.0269
