taxa	abundance
Acidobacteria	0.0023
Actinobacteria	0.1214
Aquificae	0.0059
Bacteroidetes	0.0326
Chlamydiae	0.0025
Chlorobi	0.0042
Chloroflexi	0.0042
Cyanobacteria	0.0195
Deinococcus-Thermus	0.0023
Dictyoglomi	0.0008
Elusimicrobia	0.0011
Euryarchaeota	0.0008
Fibrobacteres	0.0006
Firmicutes	0.2126
Fusobacteria	0.0057
Gemmatimonadetes	0.0031
Nitrospirae	0.0034
Planctomycetes	0.0054
Proteobacteria	0.5098
Spirochaetes	0.0082
Synergistetes	0.0065
Tenericutes	0.0334
Thermotogae	0.0042
Verrucomicrobia	0.0093
