taxa	abundance
Abiotrophia	0.0008
Acaryochloris	0.0006
Acetobacter	0.0014
Acholeplasma	0.0006
Achromobacter	0.0006
Acidaminococcus	0.0006
Acidimicrobium	0.0037
Acidiphilium	0.0006
Acidithiobacillus	0.0020
Acidothermus	0.0082
Acidovorax	0.0008
Aciduliprofundum	0.0011
Acinetobacter	0.0025
Actinobacillus	0.0006
Actinomyces	0.0147
Actinosynnema	0.0025
Aeromicrobium	0.0020
Aeromonas	0.0003
Aeropyrum	0.0008
Afipia	0.0006
Aggregatibacter	0.0017
Agrobacterium	0.0020
Akkermansia	0.0014
Albidiferax	0.0006
Alcanivorax	0.0006
Algoriphagus	0.0006
Alicycliphilus	0.0006
Alicyclobacillus	0.0034
Aliivibrio	0.0011
Alistipes	0.0008
Alkalilimnicola	0.0008
Alkaliphilus	0.0006
Allochromatium	0.0006
Ammonifex	0.0008
Amycolatopsis	0.0008
Anaerobaculum	0.0014
Anaerococcus	0.0003
Anaeromyxobacter	0.0051
Anaerostipes	0.0003
Anaerotruncus	0.0343
Anaplasma	0.0113
Aquifex	0.0003
Archaeoglobus	0.0014
Arcobacter	0.0003
Aromatoleum	0.0006
Arsenophonus	0.0008
Arthrobacter	0.0023
Arthrospira	0.0008
Asticcacaulis	0.0008
Atopobium	0.0006
Aurantimonas	0.0008
Azoarcus	0.0006
Azospirillum	0.0014
Azotobacter	0.0003
Bacillus	0.0096
Bacteroides	0.0014
Bartonella	0.0028
Bdellovibrio	0.0054
Beggiatoa	0.0014
Beijerinckia	0.0011
Beutenbergia	0.0045
Bifidobacterium	0.0142
Blastopirellula	0.0028
Blautia	0.0006
Bordetella	0.0017
Borrelia	0.0037
Brachybacterium	0.0020
Brachyspira	0.0008
Bradyrhizobium	0.0017
Brevibacillus	0.0006
Brevibacterium	0.0003
Brevundimonas	0.0020
Brucella	0.0020
Buchnera	0.0042
Bulleidia	0.0017
Burkholderia	0.0258
Butyrivibrio	0.0008
Caldanaerobacter	0.0003
Caldicellulosiruptor	0.0006
Caldivirga	0.0023
Campylobacter	0.0269
Candidatus Accumulibacter	0.0023
Candidatus Amoebophilus	0.0003
Candidatus Azobacteroides	0.0011
Candidatus Blochmannia	0.0014
Candidatus Hamiltonella	0.0008
Candidatus Korarchaeum	0.0059
Candidatus Koribacter	0.0011
Candidatus Liberibacter	0.0025
Candidatus Pelagibacter	0.0014
Candidatus Phytoplasma	0.0020
Candidatus Protochlamydia	0.0006
Candidatus Solibacter	0.0031
Capnocytophaga	0.0006
Carboxydothermus	0.0006
Cardiobacterium	0.0017
Carnobacterium	0.0008
Catenibacterium	0.0006
Catenulispora	0.0028
Catonella	0.0017
Caulobacter	0.0011
Cellulomonas	0.0017
Cellvibrio	0.0008
Chelativorans	0.0014
Chitinophaga	0.0011
Chlamydia	0.0020
Chlamydophila	0.0008
Chlorobaculum	0.0003
Chlorobium	0.0025
Chloroflexus	0.0006
Chloroherpeton	0.0006
Chromobacterium	0.0008
Chromohalobacter	0.0011
Chryseobacterium	0.0003
Chthoniobacter	0.0006
Citrobacter	0.0008
Clavibacter	0.0048
Clostridium	0.0657
Collinsella	0.0008
Colwellia	0.0006
Comamonas	0.0008
Congregibacter	0.0003
Coprococcus	0.0003
Coprothermobacter	0.0003
Corynebacterium	0.0227
Coxiella	0.0020
Croceibacter	0.0003
Crocosphaera	0.0006
Cronobacter	0.0003
Cryptobacterium	0.0003
Cupriavidus	0.0014
Curvibacter	0.0006
Cyanobium	0.0008
Cyanothece	0.0014
Cytophaga	0.0008
Dechloromonas	0.0011
Dehalococcoides	0.0011
Deinococcus	0.0011
Delftia	0.0006
Desulfitobacterium	0.0011
Desulfobacterium	0.0006
Desulfococcus	0.0023
Desulfohalobium	0.0003
Desulfomicrobium	0.0020
Desulfonatronospira	0.0014
Desulfotalea	0.0006
Desulfotomaculum	0.0011
Desulfovibrio	0.0085
Desulfurivibrio	0.0006
Desulfurococcus	0.0014
Dethiobacter	0.0014
Dethiosulfovibrio	0.0003
Dialister	0.0008
Dickeya	0.0008
Dorea	0.0003
Dyadobacter	0.0014
Edwardsiella	0.0014
Ehrlichia	0.0017
Eikenella	0.0003
Elusimicrobium	0.0031
Endoriftia	0.0003
Enhydrobacter	0.0003
Enterobacter	0.0003
Enterococcus	0.0079
Erwinia	0.0006
Erysipelothrix	0.0008
Erythrobacter	0.0017
Escherichia	0.0014
Ethanoligenens	0.0017
Eubacterium	0.0017
Exiguobacterium	0.0008
Faecalibacterium	0.0040
Ferroglobus	0.0003
Ferroplasma	0.0008
Fervidobacterium	0.0011
Fibrobacter	0.0020
Finegoldia	0.0003
Flavobacterium	0.0006
Francisella	0.0065
Frankia	0.0028
Fulvimarina	0.0011
Fusobacterium	0.0008
Gallionella	0.0006
Gemella	0.0003
Gemmatimonas	0.0006
Geobacillus	0.0023
Geobacter	0.0037
Geodermatophilus	0.0023
Glaciecola	0.0003
Gloeobacter	0.0008
Gluconacetobacter	0.0014
Gluconobacter	0.0003
Gramella	0.0003
Granulibacter	0.0014
Granulicatella	0.0006
Haemophilus	0.0025
Hahella	0.0006
Haliangium	0.0020
Haloarcula	0.0008
Halobacterium	0.0020
Haloferax	0.0003
Halogeometricum	0.0003
Halomicrobium	0.0003
Haloquadratum	0.0031
Halorhabdus	0.0003
Halorhodospira	0.0028
Halorubrum	0.0003
Halothermothrix	0.0006
Halothiobacillus	0.0023
Helicobacter	0.0023
Heliobacterium	0.0028
Herbaspirillum	0.0006
Herpetosiphon	0.0003
Hirschia	0.0008
Histophilus	0.0003
Hoeflea	0.0014
Holdemania	0.0014
Hydrogenivirga	0.0011
Hydrogenobacter	0.0003
Hydrogenobaculum	0.0006
Hyperthermus	0.0006
Hyphomicrobium	0.0014
Hyphomonas	0.0014
Idiomarina	0.0008
Ignicoccus	0.0006
Janibacter	0.0028
Jannaschia	0.0006
Janthinobacterium	0.0006
Jonesia	0.0008
Jonquetella	0.0014
Kangiella	0.0006
Kineococcus	0.0006
Klebsiella	0.0048
Kocuria	0.0011
Kosmotoga	0.0031
Kribbella	0.0042
Kytococcus	0.0031
Labrenzia	0.0040
Lactobacillus	0.0215
Lactococcus	0.0008
Laribacter	0.0006
Lawsonia	0.0011
Leeuwenhoekiella	0.0006
Legionella	0.0011
Leptospira	0.0023
Leptothrix	0.0003
Leptotrichia	0.0006
Leuconostoc	0.0006
Listeria	0.0099
Lutiella	0.0011
Macrococcus	0.0008
Magnetococcus	0.0008
Magnetospirillum	0.0008
Maribacter	0.0006
Maricaulis	0.0011
Marinobacter	0.0003
Marinomonas	0.0008
Mariprofundus	0.0023
Maritimibacter	0.0003
Megasphaera	0.0006
Meiothermus	0.0025
Mesoplasma	0.0031
Mesorhizobium	0.0020
Metallosphaera	0.0006
Methanobrevibacter	0.0003
Methanocaldococcus	0.0008
Methanocella	0.0031
Methanococcoides	0.0006
Methanococcus	0.0017
Methanocorpusculum	0.0017
Methanoculleus	0.0003
Methanohalophilus	0.0008
Methanopyrus	0.0037
Methanoregula	0.0003
Methanosaeta	0.0025
Methanosarcina	0.0011
Methanosphaera	0.0008
Methanosphaerula	0.0011
Methanospirillum	0.0003
Methylacidiphilum	0.0011
Methylibium	0.0008
Methylobacillus	0.0008
Methylobacterium	0.0037
Methylocella	0.0006
Methylococcus	0.0028
Methylotenera	0.0025
Micrococcus	0.0040
Microcystis	0.0003
Micromonospora	0.0017
Microscilla	0.0003
Mitsuokella	0.0003
Mobiluncus	0.0057
Moorella	0.0006
Moritella	0.0003
Mycobacterium	0.0133
Mycoplasma	0.0119
Myxococcus	0.0011
Nakamurella	0.0028
Natranaerobius	0.0008
Natrialba	0.0003
Natronomonas	0.0011
Neisseria	0.0051
Neorickettsia	0.0006
Neptuniibacter	0.0011
Nitratiruptor	0.0008
Nitrococcus	0.0003
Nitrosococcus	0.0003
Nitrosomonas	0.0008
Nitrosopumilus	0.0003
Nitrosospira	0.0006
Nocardia	0.0014
Nocardioides	0.0003
Nodularia	0.0003
Nostoc	0.0006
Novosphingobium	0.0025
Oceanibulbus	0.0006
Oceanobacillus	0.0008
Ochrobactrum	0.0023
Octadecabacter	0.0006
Oenococcus	0.0025
Oligotropha	0.0008
Opitutus	0.0006
Oribacterium	0.0006
Orientia	0.0017
Oxalobacter	0.0020
Paenibacillus	0.0031
Pantoea	0.0008
Paracoccus	0.0006
Parvibaculum	0.0008
Parvularcula	0.0023
Pasteurella	0.0003
Pediococcus	0.0006
Pelobacter	0.0031
Pelodictyon	0.0011
Pelotomaculum	0.0008
Peptoniphilus	0.0008
Peptostreptococcus	0.0006
Persephonella	0.0008
Petrotoga	0.0003
Phenylobacterium	0.0017
Photobacterium	0.0006
Photorhabdus	0.0003
Picrophilus	0.0006
Pirellula	0.0014
Plesiocystis	0.0020
Polaribacter	0.0006
