taxa	abundance
Acholeplasmatales	0.0025
Acidimicrobiales	0.0037
Acidithiobacillales	0.0020
Actinomycetales	0.1730
Aeromonadales	0.0006
Alteromonadales	0.0093
Aquificales	0.0048
Archaeoglobales	0.0025
Bacillales	0.0371
Bacteroidales	0.0096
Bacteroidetes Order II. Incertae sedis	0.0017
Bdellovibrionales	0.0054
Bifidobacteriales	0.0144
Burkholderiales	0.0462
Campylobacterales	0.0314
Cardiobacteriales	0.0017
Caulobacterales	0.0057
Chlamydiales	0.0034
Chlorobiales	0.0045
Chloroflexales	0.0025
Chromatiales	0.0074
Chroococcales	0.0093
Clostridiales	0.1308
Coriobacteriales	0.0028
Cytophagales	0.0037
Deinococcales	0.0011
Desulfobacterales	0.0040
Desulfovibrionales	0.0133
Desulfurococcales	0.0034
Desulfuromonadales	0.0068
Elusimicrobiales	0.0031
Enterobacteriales	0.0278
Entomoplasmatales	0.0031
Erysipelotrichales	0.0059
Fibrobacterales	0.0020
Flavobacteriales	0.0045
Fusobacteriales	0.0020
Gallionellales	0.0017
Gemmatimonadales	0.0006
Gloeobacterales	0.0008
Halanaerobiales	0.0006
Halobacteriales	0.0088
Herpetosiphonales	0.0003
Lactobacillales	0.0524
Legionellales	0.0040
Mariprofundales	0.0023
Methanobacteriales	0.0017
Methanocellales	0.0031
Methanococcales	0.0025
Methanomicrobiales	0.0037
Methanopyrales	0.0037
Methanosarcinales	0.0051
Methylacidiphilales	0.0011
Methylococcales	0.0028
Methylophilales	0.0040
Mycoplasmatales	0.0127
Myxococcales	0.0255
Natranaerobiales	0.0008
Neisseriales	0.0082
Nitrosomonadales	0.0014
Nitrosopumilales	0.0003
Nitrospirales	0.0008
Nostocales	0.0008
Oceanospirillales	0.0048
Oscillatoriales	0.0017
Parvularculales	0.0023
Pasteurellales	0.0054
Planctomycetales	0.0065
Prochlorales	0.0062
Pseudomonadales	0.0119
Rhizobiales	0.0433
Rhodobacterales	0.0193
Rhodocyclales	0.0023
Rhodospirillales	0.0102
Rickettsiales	0.0195
Rubrobacterales	0.0031
Selenomonadales	0.0057
Solibacterales	0.0031
Sphaerobacterales	0.0011
Sphingobacteriales	0.0011
Sphingomonadales	0.0085
Spirochaetales	0.0102
Sulfolobales	0.0034
Synergistales	0.0054
Syntrophobacterales	0.0031
Thermales	0.0031
Thermoanaerobacterales	0.0040
Thermococcales	0.0031
Thermomicrobiales	0.0023
Thermoplasmatales	0.0040
Thermoproteales	0.0093
Thermotogales	0.0091
Thiotrichales	0.0088
Verrucomicrobiales	0.0037
Vibrionales	0.0040
Xanthomonadales	0.0062
unclassified	0.0212
