taxa	abundance
Actinobacteria (class)	0.1971
Alphaproteobacteria	0.1088
Aquificae (class)	0.0048
Archaeoglobi	0.0025
Bacilli	0.0895
Bacteroidia	0.0096
Betaproteobacteria	0.0660
Chlamydiia	0.0034
Chlorobia	0.0045
Chloroflexi (class)	0.0028
Clostridia	0.1362
Cytophagia	0.0037
Dehalococcoidetes	0.0011
Deinococci	0.0045
Deltaproteobacteria	0.0581
Elusimicrobia (class)	0.0031
Epsilonproteobacteria	0.0329
Erysipelotrichi	0.0059
Fibrobacteria	0.0020
Flavobacteriia	0.0059
Fusobacteriia	0.0020
Gammaproteobacteria	0.0997
Gemmatimonadetes (class)	0.0006
Gloeobacteria	0.0008
Halobacteria	0.0088
Methanobacteria	0.0017
Methanococci	0.0025
Methanomicrobia	0.0119
Methanopyri	0.0037
Mollicutes	0.0184
Negativicutes	0.0057
Nitrospira (class)	0.0008
Opitutae	0.0017
Planctomycetia	0.0065
Solibacteres	0.0031
Spartobacteria	0.0006
Sphingobacteriia	0.0011
Spirochaetia	0.0102
Synergistia	0.0054
Thermococci	0.0031
Thermomicrobia (class)	0.0034
Thermoplasmata	0.0040
Thermoprotei	0.0161
Thermotogae (class)	0.0091
Verrucomicrobiae	0.0037
Zetaproteobacteria	0.0023
unclassified	0.0306
