taxa	abundance
Acholeplasmataceae	0.0020
Acidaminococcaceae	0.0050
Acidimicrobiaceae	0.0010
Actinomycetaceae	0.0010
Aerococcaceae	0.0010
Alcaligenaceae	0.0010
Alicyclobacillaceae	0.0010
Anaplasmataceae	0.0010
Bacillaceae	0.0521
Bacteroidaceae	0.0981
Bifidobacteriaceae	0.0110
Brucellaceae	0.0020
Burkholderiaceae	0.0040
Campylobacteraceae	0.0020
Cardiobacteriaceae	0.0020
Caulobacteraceae	0.0020
Chlamydiaceae	0.0010
Clostridiaceae	0.1101
Clostridiales Family XI. Incertae Sedis	0.0020
Clostridiales Family XVIII. Incertae Sedis	0.0020
Comamonadaceae	0.0010
Coriobacteriaceae	0.0050
Coxiellaceae	0.0010
Desulfovibrionaceae	0.0050
Enterobacteriaceae	0.0130
Enterococcaceae	0.0010
Entomoplasmataceae	0.0010
Erysipelotrichaceae	0.0060
Eubacteriaceae	0.0440
Fibrobacteraceae	0.0030
Flavobacteriaceae	0.0020
Helicobacteraceae	0.0020
Hyphomonadaceae	0.0030
Lachnospiraceae	0.1381
Lactobacillaceae	0.0060
Leuconostocaceae	0.0030
Listeriaceae	0.0010
Methanosarcinaceae	0.0010
Methylacidiphilaceae	0.0030
Methylophilaceae	0.0010
Micromonosporaceae	0.0010
Moraxellaceae	0.0010
Mycoplasmataceae	0.0020
Neisseriaceae	0.0010
Nitrosopumilaceae	0.0010
Nocardiaceae	0.0010
Oxalobacteraceae	0.0120
Paenibacillaceae	0.0020
Pasteurellaceae	0.0020
Peptostreptococcaceae	0.0010
Phyllobacteriaceae	0.0010
Picrophilaceae	0.0010
Planctomycetaceae	0.0020
Porphyromonadaceae	0.0180
Prevotellaceae	0.0020
Prochlorococcaceae	0.0010
Propionibacteriaceae	0.0010
Pseudomonadaceae	0.0030
Rhizobiaceae	0.0020
Rhodobacteraceae	0.0030
Rhodothermaceae	0.0010
Rikenellaceae	0.0010
Ruminococcaceae	0.3103
Spirochaetaceae	0.0020
Staphylococcaceae	0.0010
Streptococcaceae	0.0020
Sutterellaceae	0.0010
Synergistaceae	0.0020
Syntrophomonadaceae	0.0020
Thermodesulfobiaceae	0.0010
Thermotogaceae	0.0020
Veillonellaceae	0.0030
Vibrionaceae	0.0010
Xanthomonadaceae	0.0010
unclassified	0.0701
