taxa	abundance
Acholeplasmatales	0.0020
Acidimicrobiales	0.0010
Actinomycetales	0.0040
Bacillales	0.0571
Bacteroidales	0.1191
Bacteroidetes Order II. Incertae sedis	0.0010
Bifidobacteriales	0.0110
Burkholderiales	0.0230
Campylobacterales	0.0040
Cardiobacteriales	0.0020
Caulobacterales	0.0020
Chlamydiales	0.0010
Chroococcales	0.0010
Clostridiales	0.6717
Coriobacteriales	0.0050
Desulfovibrionales	0.0050
Enterobacteriales	0.0130
Entomoplasmatales	0.0010
Erysipelotrichales	0.0060
Fibrobacterales	0.0030
Flavobacteriales	0.0020
Lactobacillales	0.0130
Legionellales	0.0010
Methanosarcinales	0.0010
Methylacidiphilales	0.0030
Methylophilales	0.0010
Mycoplasmatales	0.0020
Neisseriales	0.0010
Nitrosopumilales	0.0010
Pasteurellales	0.0020
Planctomycetales	0.0020
Prochlorales	0.0010
Pseudomonadales	0.0040
Rhizobiales	0.0050
Rhodobacterales	0.0060
Rickettsiales	0.0020
Selenomonadales	0.0080
Spirochaetales	0.0020
Synergistales	0.0020
Thermoanaerobacterales	0.0010
Thermoplasmatales	0.0010
Thermotogales	0.0020
Vibrionales	0.0010
Xanthomonadales	0.0010
unclassified	0.0020
