taxa	abundance
Abiotrophia	0.0010
Acetivibrio	0.0010
Acidaminococcus	0.0050
Acidimicrobium	0.0010
Acinetobacter	0.0010
Actinomyces	0.0010
Aggregatibacter	0.0010
Alicyclobacillus	0.0010
Alistipes	0.0010
Alkaliphilus	0.0010
Anaerococcus	0.0010
Anaerofustis	0.0140
Anaerostipes	0.0050
Anaerotruncus	0.0080
Anaplasma	0.0010
Bacillus	0.0521
Bacteroides	0.0981
Bifidobacterium	0.0110
Bilophila	0.0010
Blautia	0.0350
Borrelia	0.0020
Brevibacillus	0.0020
Brucella	0.0020
Butyrivibrio	0.0110
Campylobacter	0.0010
Candidatus Liberibacter	0.0010
Candidatus Phytoplasma	0.0010
Capnocytophaga	0.0010
Cardiobacterium	0.0010
Catenibacterium	0.0020
Catonella	0.0020
Caulobacter	0.0010
Cellvibrio	0.0010
Chlamydia	0.0010
Citrobacter	0.0010
Clostridium	0.1091
Comamonas	0.0010
Coprococcus	0.0340
Coprothermobacter	0.0010
Desulfovibrio	0.0040
Dethiobacter	0.0010
Dichelobacter	0.0010
Dorea	0.0040
Eggerthella	0.0020
Enterococcus	0.0010
Epulopiscium	0.0020
Erwinia	0.0010
Escherichia	0.0100
Ethanoligenens	0.0210
Eubacterium	0.0300
Faecalibacterium	0.0701
Fervidobacterium	0.0010
Fibrobacter	0.0030
Finegoldia	0.0010
Haemophilus	0.0010
Helicobacter	0.0020
Hyphomonas	0.0030
Kordia	0.0010
Lactobacillus	0.0060
Leptothrix	0.0010
Leuconostoc	0.0010
Limnobacter	0.0030
Listeria	0.0010
Megasphaera	0.0020
Mesoplasma	0.0010
Methanococcoides	0.0010
Methylacidiphilum	0.0030
Methylobacillus	0.0010
Micromonospora	0.0010
Mycoplasma	0.0020
Nitrosopumilus	0.0010
Oenococcus	0.0020
Oribacterium	0.0020
Oxalobacter	0.0110
Parabacteroides	0.0180
Paracoccus	0.0010
Parvibaculum	0.0010
Peptostreptococcus	0.0010
Picrophilus	0.0010
Polynucleobacter	0.0010
Prevotella	0.0020
Prochlorococcus	0.0010
Propionibacterium	0.0010
Pseudomonas	0.0020
Rhizobium	0.0010
Rhodobacter	0.0010
Rhodococcus	0.0010
Rickettsiella	0.0010
Roseburia	0.0270
Roseobacter	0.0010
Ruminococcus	0.1201
Salinibacter	0.0010
Shigella	0.0010
Shuttleworthia	0.0040
Staphylococcus	0.0010
Streptococcus	0.0020
Subdoligranulum	0.0430
Sulfurospirillum	0.0010
Sutterella	0.0010
Symbiobacterium	0.0020
Syntrophomonas	0.0010
Thermotoga	0.0010
Veillonella	0.0010
Vibrio	0.0010
Xylella	0.0010
unclassified	0.1441
