taxa	abundance
Actinomycetales	0.0050
Aquificales	0.0008
Bacillales	0.0394
Bacteroidales	0.0789
Bacteroidetes Order II. Incertae sedis	0.0008
Bifidobacteriales	0.0294
Burkholderiales	0.0352
Campylobacterales	0.0025
Cardiobacteriales	0.0008
Chlamydiales	0.0025
Chlorobiales	0.0008
Chloroflexales	0.0008
Chromatiales	0.0008
Chroococcales	0.0008
Clostridiales	0.6854
Coriobacteriales	0.0017
Desulfovibrionales	0.0101
Desulfuromonadales	0.0025
Elusimicrobiales	0.0008
Enterobacteriales	0.0109
Erysipelotrichales	0.0260
Flavobacteriales	0.0008
Gallionellales	0.0008
Gloeobacterales	0.0008
Halobacteriales	0.0008
Lactobacillales	0.0109
Legionellales	0.0017
Mariprofundales	0.0008
Methanobacteriales	0.0008
Methylacidiphilales	0.0008
Methylophilales	0.0008
Mycoplasmatales	0.0025
Myxococcales	0.0008
Natranaerobiales	0.0008
Neisseriales	0.0034
Nitrosopumilales	0.0008
Oceanospirillales	0.0008
Parvularculales	0.0008
Pasteurellales	0.0008
Planctomycetales	0.0008
Prochlorales	0.0008
Pseudomonadales	0.0034
Rhizobiales	0.0050
Rhodobacterales	0.0008
Rhodospirillales	0.0008
Rickettsiales	0.0008
Selenomonadales	0.0034
Sphingobacteriales	0.0008
Sphingomonadales	0.0008
Spirochaetales	0.0034
Sulfolobales	0.0017
Synergistales	0.0008
Syntrophobacterales	0.0008
Thermoanaerobacterales	0.0042
Thermoplasmatales	0.0008
Thermotogales	0.0008
Thiotrichales	0.0008
unclassified	0.0025
