taxa	abundance
Actinobacteria (class)	0.0378
Alphaproteobacteria	0.0092
Aquificae (class)	0.0008
Bacilli	0.0503
Bacteroidia	0.0789
Betaproteobacteria	0.0411
Chlamydiia	0.0025
Chlorobia	0.0008
Chloroflexi (class)	0.0008
Clostridia	0.6904
Deltaproteobacteria	0.0143
Elusimicrobia (class)	0.0008
Epsilonproteobacteria	0.0025
Erysipelotrichi	0.0260
Flavobacteriia	0.0008
Gammaproteobacteria	0.0201
Gloeobacteria	0.0008
Halobacteria	0.0008
Methanobacteria	0.0008
Mollicutes	0.0025
Negativicutes	0.0034
Planctomycetia	0.0008
Sphingobacteriia	0.0008
Spirochaetia	0.0034
Synergistia	0.0008
Thermoplasmata	0.0008
Thermoprotei	0.0017
Thermotogae (class)	0.0008
Zetaproteobacteria	0.0008
unclassified	0.0042
