taxa	abundance
Abiotrophia	0.0008
Acetivibrio	0.0025
Acidaminococcus	0.0025
Acinetobacter	0.0008
Alistipes	0.0017
Anaerofustis	0.0218
Anaerostipes	0.0319
Anaerotruncus	0.0067
Atopobium	0.0008
Bacillus	0.0319
Bacteroides	0.0663
Bartonella	0.0008
Bifidobacterium	0.0294
Blautia	0.0302
Borrelia	0.0008
Brachyspira	0.0008
Bradyrhizobium	0.0008
Brevibacillus	0.0008
Brucella	0.0008
Buchnera	0.0017
Burkholderia	0.0025
Butyrivibrio	0.0185
Caldicellulosiruptor	0.0008
Campylobacter	0.0017
Candidatus Pelagibacter	0.0008
Carnobacterium	0.0008
Catenibacterium	0.0025
Catonella	0.0025
Chitinophaga	0.0008
Chlamydia	0.0025
Citrobacter	0.0008
Clostridium	0.0872
Coprococcus	0.0352
Coprothermobacter	0.0017
Corynebacterium	0.0017
Coxiella	0.0008
Cyanothece	0.0008
Desulfovibrio	0.0101
Dethiobacter	0.0008
Dorea	0.0050
Elusimicrobium	0.0008
Enterococcus	0.0008
Epulopiscium	0.0050
Erythrobacter	0.0008
Escherichia	0.0067
Ethanoligenens	0.0117
Eubacterium	0.0688
Faecalibacterium	0.0537
Gallionella	0.0008
Geobacter	0.0017
Gloeobacter	0.0008
Granulibacter	0.0008
Haemophilus	0.0008
Halobacterium	0.0008
Halothiobacillus	0.0008
Helicobacter	0.0008
Heliobacterium	0.0008
Holdemania	0.0008
Hydrogenivirga	0.0008
Klebsiella	0.0017
Kocuria	0.0008
Lactobacillus	0.0050
Laribacter	0.0008
Legionella	0.0008
Leptospira	0.0008
Leuconostoc	0.0017
Limnobacter	0.0008
Listeria	0.0017
Macrococcus	0.0008
Marinomonas	0.0008
Mariprofundus	0.0008
Megasphaera	0.0008
Methanobrevibacter	0.0008
Methylacidiphilum	0.0008
Methylophaga	0.0008
Mobiluncus	0.0008
Mycoplasma	0.0025
Natranaerobius	0.0008
Neisseria	0.0017
Nitrosopumilus	0.0008
Oribacterium	0.0025
Oxalobacter	0.0235
Paenibacillus	0.0008
Parabacteroides	0.0101
Parvularcula	0.0008
Pelobacter	0.0008
Pelodictyon	0.0008
Plesiocystis	0.0008
Polaribacter	0.0008
Polaromonas	0.0008
Prevotella	0.0008
Prochlorococcus	0.0008
Pseudomonas	0.0017
Psychrobacter	0.0008
Rhizobium	0.0008
Rhodomicrobium	0.0008
Rhodopseudomonas	0.0008
Roseburia	0.0260
Ruminococcus	0.1141
Salinibacter	0.0008
Shuttleworthia	0.0025
Staphylococcus	0.0034
Streptococcus	0.0017
Subdoligranulum	0.0185
Sulfolobus	0.0017
Syntrophomonas	0.0008
Syntrophus	0.0008
Thermanaerovibrio	0.0008
Thermoanaerobacterium	0.0017
Thermoplasma	0.0008
Thermotoga	0.0008
Treponema	0.0008
Tropheryma	0.0008
Tsukamurella	0.0008
Variovorax	0.0008
unclassified	0.1762
