taxa	abundance
Acholeplasmataceae	0.0048
Acidaminococcaceae	0.0144
Alcaligenaceae	0.0048
Anaplasmataceae	0.0024
Bacillaceae	0.0024
Bacteroidaceae	0.1507
Bifidobacteriaceae	0.0287
Bradyrhizobiaceae	0.0024
Burkholderiaceae	0.0096
Campylobacteraceae	0.0048
Cardiobacteriaceae	0.0048
Chromatiaceae	0.0024
Clostridiaceae	0.0885
Comamonadaceae	0.0024
Corynebacteriaceae	0.0024
Enterobacteriaceae	0.0215
Enterococcaceae	0.0024
Erysipelotrichaceae	0.0191
Eubacteriaceae	0.1220
Heliobacteriaceae	0.0024
Hydrogenophilaceae	0.0048
Lachnospiraceae	0.0933
Lactobacillaceae	0.0072
Methylacidiphilaceae	0.0024
Moraxellaceae	0.0024
Mycoplasmataceae	0.0048
Nautiliaceae	0.0024
Neisseriaceae	0.0024
Oceanospirillaceae	0.0048
Parvularculaceae	0.0024
Pasteurellaceae	0.0048
Peptococcaceae	0.0024
Planctomycetaceae	0.0024
Prevotellaceae	0.0048
Pseudomonadaceae	0.0048
Rhizobiaceae	0.0024
Rhodocyclaceae	0.0024
Ruminococcaceae	0.2847
Sphingomonadaceae	0.0024
Streptococcaceae	0.0048
Sutterellaceae	0.0048
Thermodesulfobiaceae	0.0024
Thermofilaceae	0.0024
Thermotogaceae	0.0024
Veillonellaceae	0.0024
unclassified	0.0502
