taxa	abundance
Acholeplasmatales	0.0045
Acidimicrobiales	0.0028
Acidithiobacillales	0.0023
Actinomycetales	0.1503
Aeromonadales	0.0020
Alteromonadales	0.0102
Aquificales	0.0034
Archaeoglobales	0.0023
Bacillales	0.0307
Bacteroidales	0.0071
Bacteroidetes Order II. Incertae sedis	0.0222
Bdellovibrionales	0.0006
Bifidobacteriales	0.1199
Burkholderiales	0.0463
Campylobacterales	0.0196
Cardiobacteriales	0.0003
Caulobacterales	0.0068
Cenarchaeales	0.0014
Chlamydiales	0.0054
Chlorobiales	0.0060
Chloroflexales	0.0023
Chromatiales	0.0063
Chroococcales	0.0105
Clostridiales	0.0415
Coriobacteriales	0.0145
Cytophagales	0.0020
Deinococcales	0.0023
Desulfobacterales	0.0017
Desulfovibrionales	0.0068
Desulfurococcales	0.0043
Desulfuromonadales	0.0043
Dictyoglomales	0.0017
Elusimicrobiales	0.0009
Enterobacteriales	0.0284
Entomoplasmatales	0.0020
Erysipelotrichales	0.0068
Fibrobacterales	0.0011
Flavobacteriales	0.0071
Fusobacteriales	0.0048
Gallionellales	0.0028
Gemmatimonadales	0.0017
Gloeobacterales	0.0017
Halanaerobiales	0.0006
Halobacteriales	0.0043
Herpetosiphonales	0.0009
Hydrogenophilales	0.0003
Lactobacillales	0.0625
Legionellales	0.0020
Mariprofundales	0.0009
Methanobacteriales	0.0031
Methanocellales	0.0011
Methanococcales	0.0023
Methanomicrobiales	0.0023
Methanopyrales	0.0006
Methanosarcinales	0.0037
Methylacidiphilales	0.0009
Methylococcales	0.0011
Methylophilales	0.0037
Mycoplasmatales	0.0310
Myxococcales	0.0045
Natranaerobiales	0.0006
Neisseriales	0.0074
Nitrosomonadales	0.0037
Nitrosopumilales	0.0006
Nitrospirales	0.0014
Nostocales	0.0009
Oceanospirillales	0.0048
Oscillatoriales	0.0017
Parvularculales	0.0020
Pasteurellales	0.0026
Planctomycetales	0.0071
Prochlorales	0.0054
Pseudomonadales	0.0097
Rhizobiales	0.0645
Rhodobacterales	0.0250
Rhodocyclales	0.0023
Rhodospirillales	0.0060
Rickettsiales	0.0094
Rubrobacterales	0.0017
Selenomonadales	0.0063
Solibacterales	0.0006
Sphaerobacterales	0.0014
Sphingobacteriales	0.0009
Sphingomonadales	0.0117
Spirochaetales	0.0068
Sulfolobales	0.0057
Synergistales	0.0051
Syntrophobacterales	0.0020
Thermales	0.0017
Thermoanaerobacterales	0.0040
Thermococcales	0.0043
Thermomicrobiales	0.0009
Thermoplasmatales	0.0017
Thermoproteales	0.0102
Thermotogales	0.0048
Thiotrichales	0.0085
Verrucomicrobiales	0.0023
Vibrionales	0.0068
Xanthomonadales	0.0131
unclassified	0.0196
