taxa	abundance
Abiotrophia	0.0017
Acaryochloris	0.0003
Acholeplasma	0.0011
Achromobacter	0.0003
Acidaminococcus	0.0014
Acidimicrobium	0.0028
Acidithiobacillus	0.0023
Acidothermus	0.0009
Acidovorax	0.0023
Aciduliprofundum	0.0006
Acinetobacter	0.0040
Actinobacillus	0.0003
Actinomyces	0.0068
Actinosynnema	0.0011
Aeromicrobium	0.0011
Aeromonas	0.0011
Aeropyrum	0.0014
Afipia	0.0011
Aggregatibacter	0.0003
Agrobacterium	0.0037
Akkermansia	0.0020
Albidiferax	0.0020
Alcanivorax	0.0006
Algoriphagus	0.0006
Alicycliphilus	0.0006
Alicyclobacillus	0.0014
Aliivibrio	0.0006
Alistipes	0.0003
Alkalilimnicola	0.0006
Alkaliphilus	0.0003
Alteromonas	0.0003
Aminomonas	0.0006
Ammonifex	0.0009
Amycolatopsis	0.0003
Anabaena	0.0003
Anaerobaculum	0.0009
Anaerofustis	0.0003
Anaeromyxobacter	0.0023
Anaerostipes	0.0006
Anaerotruncus	0.0009
Anaplasma	0.0009
Anoxybacillus	0.0014
Archaeoglobus	0.0014
Arcobacter	0.0006
Aromatoleum	0.0009
Arthrobacter	0.0014
Arthrospira	0.0006
Asticcacaulis	0.0009
Atopobium	0.0065
Aurantimonas	0.0006
Azoarcus	0.0009
Azorhizobium	0.0003
Azospirillum	0.0009
Azotobacter	0.0003
Bacillus	0.0131
Bacteroides	0.0023
Bartonella	0.0023
Bdellovibrio	0.0006
Beggiatoa	0.0003
Beijerinckia	0.0031
Bermanella	0.0017
Beutenbergia	0.0006
Bifidobacterium	0.0915
Blastopirellula	0.0011
Blattabacterium	0.0017
Bordetella	0.0014
Borrelia	0.0043
Brachybacterium	0.0020
Brachyspira	0.0003
Bradyrhizobium	0.0017
Brevibacillus	0.0003
Brevibacterium	0.0026
Brevundimonas	0.0031
Brucella	0.0119
Buchnera	0.0040
Bulleidia	0.0017
Burkholderia	0.0128
Butyrivibrio	0.0009
Caldicellulosiruptor	0.0006
Caldivirga	0.0065
Campylobacter	0.0017
Candidatus Accumulibacter	0.0026
Candidatus Amoebophilus	0.0003
Candidatus Azobacteroides	0.0006
Candidatus Blochmannia	0.0009
Candidatus Desulforudis	0.0003
Candidatus Hamiltonella	0.0020
Candidatus Korarchaeum	0.0020
Candidatus Koribacter	0.0011
Candidatus Liberibacter	0.0014
Candidatus Pelagibacter	0.0026
Candidatus Phytoplasma	0.0034
Candidatus Protochlamydia	0.0014
Candidatus Regiella	0.0017
Candidatus Solibacter	0.0006
Capnocytophaga	0.0003
Carboxydothermus	0.0006
Cardiobacterium	0.0003
Catenulispora	0.0014
Catonella	0.0011
Caulobacter	0.0011
Cellulomonas	0.0003
Cellvibrio	0.0006
Cenarchaeum	0.0014
Chelativorans	0.0003
Chitinophaga	0.0009
Chlamydia	0.0031
Chlamydophila	0.0006
Chlorobaculum	0.0009
Chlorobium	0.0028
Chloroflexus	0.0003
Chloroherpeton	0.0003
Chromobacterium	0.0011
Chromohalobacter	0.0006
Chthoniobacter	0.0011
Citreicella	0.0006
Clavibacter	0.0023
Clostridium	0.0117
Collinsella	0.0014
Colwellia	0.0006
Comamonas	0.0009
Coprococcus	0.0011
Coprothermobacter	0.0009
Corynebacterium	0.0188
Coxiella	0.0011
Crocosphaera	0.0003
Cronobacter	0.0003
Cryptobacterium	0.0017
