taxa	abundance
Acetobacteraceae	0.0014
Acholeplasmataceae	0.0045
Acidaminococcaceae	0.0014
Acidimicrobiaceae	0.0028
Acidithiobacillaceae	0.0023
Acidothermaceae	0.0009
Actinomycetaceae	0.0088
Actinosynnemataceae	0.0011
Aerococcaceae	0.0017
Aeromonadaceae	0.0020
Alcaligenaceae	0.0045
Alcanivoracaceae	0.0011
Alicyclobacillaceae	0.0014
Alteromonadaceae	0.0011
Anaplasmataceae	0.0040
Aquificaceae	0.0028
Archaeoglobaceae	0.0023
Aurantimonadaceae	0.0037
Bacillaceae	0.0165
Bacteroidaceae	0.0023
Bartonellaceae	0.0023
Bdellovibrionaceae	0.0006
Beijerinckiaceae	0.0040
Beutenbergiaceae	0.0006
Bifidobacteriaceae	0.1199
Blattabacteriaceae	0.0017
Brachyspiraceae	0.0003
Bradyrhizobiaceae	0.0136
Brevibacteriaceae	0.0026
Brucellaceae	0.0134
Burkholderiaceae	0.0207
Campylobacteraceae	0.0031
Cardiobacteriaceae	0.0003
Carnobacteriaceae	0.0006
Catenulisporaceae	0.0014
Caulobacteraceae	0.0068
Cellulomonadaceae	0.0003
Cenarchaeaceae	0.0014
Chlamydiaceae	0.0037
Chlorobiaceae	0.0060
Chloroflexaceae	0.0023
Chromatiaceae	0.0009
Clostridiaceae	0.0119
Clostridiales Family XI. Incertae Sedis	0.0017
Clostridiales Family XVIII. Incertae Sedis	0.0006
Colwelliaceae	0.0006
Comamonadaceae	0.0085
Coriobacteriaceae	0.0145
Corynebacteriaceae	0.0188
Coxiellaceae	0.0014
Cyclobacteriaceae	0.0006
Cystobacteraceae	0.0006
Cytophagaceae	0.0014
Deinococcaceae	0.0023
Dermabacteraceae	0.0020
Dermacoccaceae	0.0043
Desulfobacteraceae	0.0014
Desulfobulbaceae	0.0003
Desulfohalobiaceae	0.0009
Desulfomicrobiaceae	0.0003
Desulfovibrionaceae	0.0057
Desulfurococcaceae	0.0034
Desulfuromonadaceae	0.0003
Dictyoglomaceae	0.0017
Ectothiorhodospiraceae	0.0045
Elusimicrobiaceae	0.0009
Enterobacteriaceae	0.0284
Enterococcaceae	0.0017
Entomoplasmataceae	0.0009
Erysipelotrichaceae	0.0068
Erythrobacteraceae	0.0031
Eubacteriaceae	0.0026
Ferrimonadaceae	0.0003
Ferroplasmaceae	0.0006
Fibrobacteraceae	0.0011
Flavobacteriaceae	0.0048
Francisellaceae	0.0063
Frankiaceae	0.0020
Fusobacteriaceae	0.0026
Gallionellaceae	0.0028
Gemmatimonadaceae	0.0017
Geobacteraceae	0.0031
Glycomycetaceae	0.0080
Gordoniaceae	0.0034
Hahellaceae	0.0003
Halanaerobiaceae	0.0006
Halobacteriaceae	0.0043
Halomonadaceae	0.0009
Halothiobacillaceae	0.0009
Helicobacteraceae	0.0151
Herpetosiphonaceae	0.0009
Hydrogenophilaceae	0.0003
Hydrogenothermaceae	0.0006
Hyphomicrobiaceae	0.0051
Hyphomonadaceae	0.0063
Idiomarinaceae	0.0003
Intrasporangiaceae	0.0031
Jonesiaceae	0.0011
Kineosporiaceae	0.0023
Lachnospiraceae	0.0102
Lactobacillaceae	0.0230
Legionellaceae	0.0006
Leptospiraceae	0.0014
Leptotrichiaceae	0.0023
Leuconostocaceae	0.0219
Listeriaceae	0.0020
Mariprofundaceae	0.0009
Methanobacteriaceae	0.0031
Methanocaldococcaceae	0.0003
Methanocellaceae	0.0011
Methanococcaceae	0.0020
Methanocorpusculaceae	0.0017
Methanopyraceae	0.0006
Methanosaetaceae	0.0009
Methanosarcinaceae	0.0028
Methanospirillaceae	0.0006
Methylacidiphilaceae	0.0009
Methylobacteriaceae	0.0063
Methylococcaceae	0.0011
Methylophilaceae	0.0031
Microbacteriaceae	0.0026
Micrococcaceae	0.0119
Micromonosporaceae	0.0009
Moraxellaceae	0.0048
Mycobacteriaceae	0.0318
Mycoplasmataceae	0.0310
Myxococcaceae	0.0028
Nakamurellaceae	0.0026
Natranaerobiaceae	0.0006
Neisseriaceae	0.0074
Nitrosomonadaceae	0.0037
Nitrosopumilaceae	0.0006
Nitrospiraceae	0.0014
Nocardiaceae	0.0023
Nocardioidaceae	0.0023
Nocardiopsaceae	0.0009
Nostocaceae	0.0009
Oceanospirillaceae	0.0026
Opitutaceae	0.0003
Oxalobacteraceae	0.0045
Paenibacillaceae	0.0023
Parachlamydiaceae	0.0014
Parvularculaceae	0.0020
Pasteurellaceae	0.0026
Pelobacteraceae	0.0009
Peptococcaceae	0.0017
Peptostreptococcaceae	0.0006
Phyllobacteriaceae	0.0060
Picrophilaceae	0.0006
Piscirickettsiaceae	0.0020
Planctomycetaceae	0.0071
Polyangiaceae	0.0011
Porphyromonadaceae	0.0009
Prevotellaceae	0.0031
Prochlorococcaceae	0.0054
Promicromonosporaceae	0.0034
Propionibacteriaceae	0.0043
Pseudoalteromonadaceae	0.0017
Pseudomonadaceae	0.0048
Pseudonocardiaceae	0.0026
Psychromonadaceae	0.0014
Pyrodictiaceae	0.0009
Rhizobiaceae	0.0071
Rhodobacteraceae	0.0185
Rhodocyclaceae	0.0023
Rhodospirillaceae	0.0045
Rhodothermaceae	0.0222
Rickettsiaceae	0.0028
Rikenellaceae	0.0003
Rubrobacteraceae	0.0017
Ruminococcaceae	0.0088
Sanguibacteraceae	0.0014
Shewanellaceae	0.0034
Solibacteraceae	0.0006
Sphaerobacteraceae	0.0014
Sphingomonadaceae	0.0085
Spirochaetaceae	0.0051
Spiroplasmataceae	0.0011
Staphylococcaceae	0.0074
Streptococcaceae	0.0136
Streptomycetaceae	0.0168
Streptosporangiaceae	0.0011
Sulfolobaceae	0.0057
Sutterellaceae	0.0017
Synergistaceae	0.0051
Syntrophaceae	0.0017
Syntrophobacteraceae	0.0003
Syntrophomonadaceae	0.0009
Thermaceae	0.0017
Thermoanaerobacteraceae	0.0026
Thermoanaerobacterales Family III. Incertae Sedis	0.0006
Thermococcaceae	0.0043
Thermodesulfobiaceae	0.0009
Thermofilaceae	0.0026
Thermomicrobiaceae	0.0009
Thermomonosporaceae	0.0011
Thermoplasmataceae	0.0006
Thermoproteaceae	0.0077
Thermotogaceae	0.0048
Thiotrichaceae	0.0003
Tsukamurellaceae	0.0014
Veillonellaceae	0.0048
Verrucomicrobiaceae	0.0023
Vibrionaceae	0.0068
Xanthobacteraceae	0.0031
Xanthomonadaceae	0.0131
unclassified	0.0543
