taxa	abundance
Acidobacteria	0.0017
Actinobacteria	0.1234
Aquificae	0.0096
Bacteroidetes	0.0631
Chlamydiae	0.0059
Chlorobi	0.0057
Chloroflexi	0.0079
Crenarchaeota	0.0198
Cyanobacteria	0.0481
Deinococcus-Thermus	0.0014
Dictyoglomi	0.0014
Elusimicrobia	0.0011
Euryarchaeota	0.0175
Fibrobacteres	0.0006
Firmicutes	0.1761
Fusobacteria	0.0082
Korarchaeota	0.0014
Nitrospirae	0.0037
Planctomycetes	0.0062
Proteobacteria	0.4277
Spirochaetes	0.0156
Synergistetes	0.0031
Tenericutes	0.0294
Thaumarchaeota	0.0037
Thermotogae	0.0093
Verrucomicrobia	0.0082
