taxa	abundance
Actinobacteria (class)	0.1234
Alphaproteobacteria	0.1608
Aquificae (class)	0.0096
Archaeoglobi	0.0020
Bacilli	0.0917
Bacteroidia	0.0173
Betaproteobacteria	0.0439
Chlamydiia	0.0059
Chlorobia	0.0057
Chloroflexi (class)	0.0057
Clostridia	0.0733
Cytophagia	0.0156
Dehalococcoidetes	0.0006
Deinococci	0.0014
Deltaproteobacteria	0.0396
Dictyoglomia	0.0014
Elusimicrobia (class)	0.0011
Epsilonproteobacteria	0.0130
Erysipelotrichi	0.0068
Fibrobacteria	0.0006
Flavobacteriia	0.0187
Fusobacteriia	0.0082
Gammaproteobacteria	0.1659
Halobacteria	0.0008
Methanobacteria	0.0017
Methanococci	0.0023
Methanomicrobia	0.0025
Mollicutes	0.0294
Negativicutes	0.0042
Nitrospira (class)	0.0037
Opitutae	0.0023
Planctomycetia	0.0062
Solibacteres	0.0006
Sphingobacteriia	0.0059
Spirochaetia	0.0156
Synergistia	0.0031
Thermococci	0.0025
Thermomicrobia (class)	0.0017
Thermoplasmata	0.0025
Thermoprotei	0.0198
Thermotogae (class)	0.0093
Verrucomicrobiae	0.0042
Zetaproteobacteria	0.0003
unclassified	0.0691
