taxa	abundance
Acholeplasmatales	0.0125
Acidimicrobiales	0.0025
Acidithiobacillales	0.0003
Actinomycetales	0.0951
Alteromonadales	0.0096
Aquificales	0.0096
Archaeoglobales	0.0020
Bacillales	0.0422
Bacteroidales	0.0173
Bacteroidetes Order II. Incertae sedis	0.0020
Bdellovibrionales	0.0037
Bifidobacteriales	0.0175
Burkholderiales	0.0300
Campylobacterales	0.0093
Cardiobacteriales	0.0023
Caulobacterales	0.0045
Cenarchaeales	0.0037
Chlamydiales	0.0059
Chlorobiales	0.0057
Chloroflexales	0.0031
Chromatiales	0.0048
Chroococcales	0.0241
Clostridiales	0.0623
Coriobacteriales	0.0071
Cytophagales	0.0156
Deinococcales	0.0006
Desulfobacterales	0.0071
Desulfovibrionales	0.0110
Desulfurococcales	0.0068
Desulfuromonadales	0.0068
Dictyoglomales	0.0014
Elusimicrobiales	0.0011
Enterobacteriales	0.0821
Entomoplasmatales	0.0003
Erysipelotrichales	0.0068
Fibrobacterales	0.0006
Flavobacteriales	0.0142
Fusobacteriales	0.0082
Gallionellales	0.0006
Halanaerobiales	0.0023
Halobacteriales	0.0008
Herpetosiphonales	0.0025
Hydrogenophilales	0.0003
Lactobacillales	0.0495
Legionellales	0.0085
Mariprofundales	0.0003
Methanobacteriales	0.0017
Methanocellales	0.0003
Methanococcales	0.0023
Methanomicrobiales	0.0003
Methanosarcinales	0.0020
Methylacidiphilales	0.0017
Methylococcales	0.0017
Methylophilales	0.0023
Mycoplasmatales	0.0167
Myxococcales	0.0076
Natranaerobiales	0.0017
Nautiliales	0.0011
Neisseriales	0.0062
Nitrosomonadales	0.0031
Nitrospirales	0.0037
Nostocales	0.0031
Oceanospirillales	0.0042
Oscillatoriales	0.0045
Parvularculales	0.0057
Pasteurellales	0.0099
Planctomycetales	0.0062
Prochlorales	0.0164
Pseudomonadales	0.0139
Rhizobiales	0.0504
Rhodobacterales	0.0314
Rhodocyclales	0.0014
Rhodospirillales	0.0110
Rickettsiales	0.0371
Rubrobacterales	0.0006
Selenomonadales	0.0042
Solibacterales	0.0006
Sphaerobacterales	0.0003
Sphingobacteriales	0.0059
Sphingomonadales	0.0207
Spirochaetales	0.0156
Sulfolobales	0.0068
Synergistales	0.0031
Syntrophobacterales	0.0031
Thermales	0.0008
Thermoanaerobacterales	0.0071
Thermococcales	0.0025
Thermomicrobiales	0.0014
Thermoplasmatales	0.0025
Thermoproteales	0.0062
Thermotogales	0.0093
Thiotrichales	0.0113
Verrucomicrobiales	0.0042
Vibrionales	0.0130
Xanthomonadales	0.0037
unclassified	0.0249
